frame,left_hand_detection_confidence,right_hand_detection_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_cmc_z,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_mcp_z,left_thumb_ip_x,left_thumb_ip_y,left_thumb_ip_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_mcp_x,left_index_mcp_y,left_index_mcp_z,left_index_pip_x,left_index_pip_y,left_index_pip_z,left_index_dip_x,left_index_dip_y,left_index_dip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_mcp_x,left_middle_mcp_y,left_middle_mcp_z,left_middle_pip_x,left_middle_pip_y,left_middle_pip_z,left_middle_dip_x,left_middle_dip_y,left_middle_dip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_mcp_x,left_ring_mcp_y,left_ring_mcp_z,left_ring_pip_x,left_ring_pip_y,left_ring_pip_z,left_ring_dip_x,left_ring_dip_y,left_ring_dip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_mcp_z,left_pinky_pip_x,left_pinky_pip_y,left_pinky_pip_z,left_pinky_dip_x,left_pinky_dip_y,left_pinky_dip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_wrist_x,right_wrist_y,right_wrist_z,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_cmc_z,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_mcp_z,right_thumb_ip_x,right_thumb_ip_y,right_thumb_ip_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_mcp_x,right_index_mcp_y,right_index_mcp_z,right_index_pip_x,right_index_pip_y,right_index_pip_z,right_index_dip_x,right_index_dip_y,right_index_dip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_mcp_x,right_middle_mcp_y,right_middle_mcp_z,right_middle_pip_x,right_middle_pip_y,right_middle_pip_z,right_middle_dip_x,right_middle_dip_y,right_middle_dip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_mcp_x,right_ring_mcp_y,right_ring_mcp_z,right_ring_pip_x,right_ring_pip_y,right_ring_pip_z,right_ring_dip_x,right_ring_dip_y,right_ring_dip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_mcp_z,right_pinky_pip_x,right_pinky_pip_y,right_pinky_pip_z,right_pinky_dip_x,right_pinky_dip_y,right_pinky_dip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
0,1.0000000000,1.0000000000,0.6403409243,0.9389243722,0.0000000639,0.6147999167,0.9181420207,0.0040155300,0.5885762572,0.9007296562,0.0034789599,0.5679479241,0.8911578655,0.0018904452,0.5507476926,0.8892747164,-0.0003247706,0.5846106410,0.8898880482,-0.0058368701,0.5539306402,0.8713721633,-0.0131541258,0.5338969231,0.8769745231,-0.0170491561,0.5197333694,0.8864386082,-0.0187732112,0.5882486701,0.8985568285,-0.0120230913,0.5547217727,0.8794814944,-0.0177060869,0.5334349275,0.8861051798,-0.0196073763,0.5192157626,0.8952852488,-0.0209368654,0.5923219323,0.9153482318,-0.0179261211,0.5613613129,0.8985587955,-0.0216896422,0.5407865047,0.9009130001,-0.0225565583,0.5272533894,0.9046065807,-0.0234726761,0.5970392227,0.9401509762,-0.0233965162,0.5740624666,0.9307423234,-0.0258410163,0.5583633780,0.9267756343,-0.0256440211,0.5463883281,0.9239596725,-0.0256741811,0.4796949327,0.8393974304,-0.0000000619,0.4598356783,0.8484477401,-0.0002440402,0.4428865314,0.8419814110,-0.0012861365,0.4359989166,0.8310219049,-0.0031403962,0.4322114587,0.8217595220,-0.0050960500,0.4322238863,0.8066715598,-0.0000764170,0.4187131524,0.8093713522,-0.0058738100,0.4098448157,0.8176662922,-0.0113017140,0.4043338597,0.8270518780,-0.0147675620,0.4383250177,0.7992696166,-0.0037024864,0.4234256148,0.8034962416,-0.0078675626,0.4148549736,0.8148963451,-0.0118738031,0.4104269147,0.8263634443,-0.0146955829,0.4467525482,0.7976015806,-0.0078964485,0.4332316518,0.8039815426,-0.0127891339,0.4269508123,0.8145123720,-0.0151268803,0.4243214428,0.8230542541,-0.0162492599,0.4569501579,0.8023276329,-0.0121816667,0.4471679032,0.8133922219,-0.0163539611,0.4429413974,0.8226940632,-0.0168723427,0.4412777722,0.8292409182,-0.0165673550
1,1.0000000000,1.0000000000,0.6374683976,0.9368957281,0.0000000276,0.6088739038,0.9161798358,0.0045732576,0.5832490325,0.9010528922,0.0034922911,0.5632317662,0.8934922218,0.0011334418,0.5470396876,0.8923426867,-0.0017701811,0.5809251070,0.8880634904,-0.0046248268,0.5522332788,0.8725117445,-0.0135324281,0.5325486660,0.8773664832,-0.0192851666,0.5180124044,0.8854439855,-0.0221840441,0.5861086249,0.8974060416,-0.0115233259,0.5549135804,0.8786090016,-0.0186460465,0.5328512192,0.8844588995,-0.0216424577,0.5177301168,0.8933328986,-0.0235080365,0.5916296244,0.9143406153,-0.0182331502,0.5622568727,0.8979636431,-0.0231659729,0.5404499173,0.8995145559,-0.0242516883,0.5254987478,0.9028521776,-0.0251128729,0.5971344709,0.9382035732,-0.0244889371,0.5751494765,0.9294549823,-0.0281281695,0.5585820079,0.9251104593,-0.0283220243,0.5450958610,0.9223888516,-0.0283949263,0.4825300574,0.8419482112,-0.0000001004,0.4650794268,0.8497640491,0.0002764814,0.4465903640,0.8471049070,-0.0000379335,0.4339707196,0.8419564366,-0.0012602457,0.4242076874,0.8407970667,-0.0023052013,0.4322416186,0.8230546117,0.0020389620,0.4154551029,0.8255537748,-0.0033874067,0.4074908793,0.8346018195,-0.0083532501,0.4036926329,0.8421598077,-0.0112243677,0.4353828728,0.8171703219,-0.0009978849,0.4177765846,0.8240797520,-0.0047112727,0.4119606912,0.8337624073,-0.0079153096,0.4104315937,0.8420276046,-0.0098170852,0.4417745173,0.8147639036,-0.0047004675,0.4256913364,0.8248342276,-0.0082201846,0.4205299020,0.8339762092,-0.0101820622,0.4189429879,0.8420043588,-0.0112647228,0.4515276551,0.8162429333,-0.0085340217,0.4411375821,0.8325058222,-0.0117905708,0.4370166957,0.8430067897,-0.0126391603,0.4355410337,0.8519365788,-0.0125812525
2,1.0000000000,1.0000000000,0.6360775232,0.9354565144,0.0000000239,0.6079509854,0.9170435071,0.0042338897,0.5823388100,0.9024327993,0.0026333015,0.5614104867,0.8944209814,-0.0001167763,0.5444497466,0.8929919600,-0.0033800944,0.5803475380,0.8902024031,-0.0067691552,0.5507776737,0.8770523667,-0.0165456422,0.5306133032,0.8832278848,-0.0226132795,0.5160925984,0.8919912577,-0.0257759523,0.5854395628,0.8992988467,-0.0139988149,0.5530762076,0.8829432726,-0.0217049532,0.5304070711,0.8902598619,-0.0246245805,0.5147228241,0.9003571868,-0.0264198259,0.5915884376,0.9166343808,-0.0210093278,0.5614809990,0.9019521475,-0.0263674408,0.5395656824,0.9041307569,-0.0276192948,0.5236946344,0.9076462388,-0.0287963096,0.5981971622,0.9407527447,-0.0275947899,0.5784518719,0.9320452213,-0.0321761444,0.5625333786,0.9285752773,-0.0330773704,0.5489133000,0.9264061451,-0.0336471200,0.4763400555,0.8486889005,-0.0000000711,0.4561415613,0.8572679758,0.0010179274,0.4385638535,0.8547924757,0.0003579236,0.4270706773,0.8495212197,-0.0011605948,0.4178065360,0.8480391502,-0.0028370374,0.4265428782,0.8277328610,-0.0007021602,0.4107640386,0.8292745352,-0.0065282234,0.4016512632,0.8371424675,-0.0117104417,0.3959314227,0.8466684818,-0.0148302736,0.4318107665,0.8218159676,-0.0049586790,0.4146771431,0.8254746199,-0.0093072318,0.4054281712,0.8360485435,-0.0130753536,0.4005233943,0.8490157127,-0.0157123469,0.4400033355,0.8203617930,-0.0096396357,0.4250932634,0.8276383281,-0.0143347280,0.4164877236,0.8393803835,-0.0177715402,0.4116877615,0.8518861532,-0.0200683028,0.4505749047,0.8240323663,-0.0142397471,0.4403150678,0.8392731547,-0.0188786983,0.4349592328,0.8524451852,-0.0208593681,0.4318286777,0.8646658063,-0.0219159853
3,1.0000000000,1.0000000000,0.6353330016,0.9362153411,0.0000000178,0.6084746718,0.9166089296,0.0048329425,0.5841200948,0.9018156528,0.0039855698,0.5645231009,0.8932695985,0.0018213271,0.5490592122,0.8920805454,-0.0007970985,0.5801293850,0.8902706504,-0.0043397411,0.5508562326,0.8789093494,-0.0127813639,0.5311948061,0.8854532838,-0.0181607492,0.5174972415,0.8948166966,-0.0208049361,0.5845652223,0.8997157812,-0.0112231374,0.5527772903,0.8867980242,-0.0169863030,0.5310789943,0.8944319487,-0.0191711783,0.5162352324,0.9042161107,-0.0205485038,0.5905147791,0.9167950749,-0.0178539772,0.5603798032,0.9058086276,-0.0212305170,0.5400647521,0.9086523652,-0.0217604991,0.5253986716,0.9123839736,-0.0226885621,0.5973402262,0.9401789308,-0.0241289139,0.5785204172,0.9338628650,-0.0270727389,0.5637131929,0.9315201044,-0.0271199271,0.5510463715,0.9299259186,-0.0271368101,0.4761617780,0.8580732942,-0.0000000787,0.4584433734,0.8627531528,0.0001578907,0.4417667389,0.8593858480,-0.0007327044,0.4305225313,0.8538348079,-0.0025857741,0.4211154580,0.8509831429,-0.0044536889,0.4309063256,0.8296213150,-0.0001124496,0.4155856371,0.8274011016,-0.0055734515,0.4057715237,0.8327729106,-0.0106401993,0.3990410864,0.8398895860,-0.0140994908,0.4348882735,0.8230978251,-0.0040340167,0.4187600911,0.8224644661,-0.0085071726,0.4092825353,0.8305236101,-0.0125628514,0.4037947357,0.8418248892,-0.0154247526,0.4421795607,0.8207498193,-0.0084695332,0.4273806810,0.8240708709,-0.0134784821,0.4193948507,0.8339610696,-0.0165938847,0.4149082303,0.8455351591,-0.0187080745,0.4526964128,0.8232142329,-0.0129568651,0.4439296424,0.8326283097,-0.0183520745,0.4392607510,0.8449593782,-0.0202738196,0.4367496073,0.8576593399,-0.0211460963
4,1.0000000000,1.0000000000,0.6348818541,0.9362431765,0.0000000145,0.6081525087,0.9179860353,0.0043245899,0.5833795667,0.9039496779,0.0031509022,0.5631245971,0.8964297771,0.0008437824,0.5473819375,0.8962380290,-0.0018845558,0.5803816319,0.8911474943,-0.0058062514,0.5510985851,0.8795387149,-0.0149019798,0.5311517715,0.8864380717,-0.0205498766,0.5173740983,0.8963608146,-0.0232806057,0.5850117207,0.9004996419,-0.0124973450,0.5532785058,0.8871988058,-0.0190811586,0.5311618447,0.8952246308,-0.0213777814,0.5161986947,0.9056320786,-0.0226972681,0.5911961794,0.9174578190,-0.0189304855,0.5611649752,0.9062163234,-0.0229763798,0.5405963063,0.9096368551,-0.0236631744,0.5258330703,0.9140864015,-0.0245434865,0.5982391834,0.9406628013,-0.0250065625,0.5793730021,0.9341076016,-0.0286891460,0.5642555356,0.9320322275,-0.0292015262,0.5512781143,0.9309053421,-0.0294298828,0.4723264873,0.8619133234,-0.0000000977,0.4543053210,0.8681830168,0.0000607487,0.4377566278,0.8636857271,-0.0004597244,0.4272339344,0.8566757441,-0.0020037701,0.4183895290,0.8525012136,-0.0035010367,0.4272515774,0.8282724023,0.0021498322,0.4141796827,0.8257296681,-0.0033949881,0.4061137140,0.8329367042,-0.0090182740,0.4009355605,0.8427371979,-0.0124583952,0.4325392842,0.8205520511,-0.0013486670,0.4184073508,0.8216640949,-0.0047047921,0.4101299345,0.8305687308,-0.0086693885,0.4051610827,0.8427041769,-0.0115395514,0.4408976138,0.8177104592,-0.0055927811,0.4284982085,0.8228615522,-0.0096867308,0.4211215079,0.8334578872,-0.0128685758,0.4166400135,0.8461206555,-0.0150821395,0.4520932436,0.8209354281,-0.0099678356,0.4449716508,0.8333911300,-0.0144475671,0.4410805702,0.8467555642,-0.0161219686,0.4390968680,0.8605080843,-0.0168181378
5,1.0000000000,1.0000000000,0.6346687078,0.9356120825,-0.0000000078,0.6078473330,0.9181250334,0.0045590578,0.5833036900,0.9043934345,0.0036076414,0.5634639859,0.8970786929,0.0014975606,0.5483198762,0.8973137736,-0.0010309077,0.5783973336,0.8919054270,-0.0053176088,0.5490760207,0.8834810853,-0.0145817641,0.5295318365,0.8924852014,-0.0204830375,0.5166662335,0.9045451880,-0.0232247505,0.5834033489,0.9008204341,-0.0120426901,0.5518631339,0.8918107748,-0.0181653518,0.5300946832,0.9013576508,-0.0204818789,0.5153881907,0.9129014611,-0.0219757147,0.5903331637,0.9172014594,-0.0185619164,0.5604340434,0.9083865285,-0.0224760436,0.5397204757,0.9133247137,-0.0235409737,0.5248712897,0.9193880558,-0.0247658007,0.5980294347,0.9397172332,-0.0246678982,0.5789541006,0.9349833727,-0.0284599755,0.5638199449,0.9343563318,-0.0292210355,0.5510163903,0.9348877072,-0.0296322908,0.4671956003,0.8574743867,-0.0000000079,0.4517790377,0.8614898920,-0.0005670206,0.4369014502,0.8605628014,-0.0013923269,0.4277075827,0.8607241511,-0.0019641842,0.4205124080,0.8638359904,-0.0029765384,0.4269804955,0.8408311009,-0.0072822468,0.4128356874,0.8360738158,-0.0114096608,0.4036255181,0.8397046924,-0.0142296180,0.3970971406,0.8443411589,-0.0164253209,0.4313352108,0.8357684612,-0.0107300607,0.4165167212,0.8296287060,-0.0153540783,0.4079429805,0.8376656771,-0.0185185168,0.4036325812,0.8477063179,-0.0207230709,0.4400850832,0.8347344995,-0.0139703788,0.4265301824,0.8351694942,-0.0203698743,0.4181129932,0.8445578218,-0.0242562685,0.4134748578,0.8540103436,-0.0265664719,0.4516423345,0.8379030228,-0.0167662371,0.4464126825,0.8523656726,-0.0243620127,0.4429076612,0.8666449189,-0.0272586327,0.4406690598,0.8786230683,-0.0286044590
6,1.0000000000,1.0000000000,0.6340847015,0.9347106814,-0.0000000205,0.6077356935,0.9162619114,0.0046787052,0.5830821991,0.9027400613,0.0035403932,0.5626945496,0.8954052925,0.0012509316,0.5475776792,0.8952996135,-0.0014942850,0.5775559545,0.8927159905,-0.0059258994,0.5473836660,0.8863387704,-0.0154660353,0.5285943747,0.8975476027,-0.0214832593,0.5165451765,0.9109485149,-0.0242575854,0.5825691819,0.9017234445,-0.0127542578,0.5501782298,0.8954147100,-0.0191421788,0.5287975669,0.9069960117,-0.0216046851,0.5145933032,0.9196003079,-0.0232388992,0.5895643234,0.9180459976,-0.0193299837,0.5588289499,0.9108964801,-0.0235398840,0.5381542444,0.9174516201,-0.0249101818,0.5236135125,0.9247449040,-0.0264049415,0.5975282788,0.9402249455,-0.0254201293,0.5782985687,0.9372144341,-0.0295391306,0.5634531975,0.9374052286,-0.0305881444,0.5510661602,0.9386675954,-0.0312451590,0.4720023274,0.8505026698,-0.0000000258,0.4550518692,0.8607082367,0.0003873759,0.4396407604,0.8634195924,-0.0009740024,0.4293426275,0.8648788929,-0.0028211914,0.4197092950,0.8669094443,-0.0050243405,0.4291224778,0.8373677135,-0.0049372497,0.4149570763,0.8350434899,-0.0104424180,0.4038408101,0.8392764926,-0.0148984892,0.3956577480,0.8442648053,-0.0179208890,0.4337896407,0.8329162002,-0.0090320613,0.4180850685,0.8302757740,-0.0148576619,0.4080336690,0.8389123678,-0.0187264290,0.4030779004,0.8502364159,-0.0208090860,0.4413859844,0.8336949944,-0.0130466344,0.4260945916,0.8393458128,-0.0193888843,0.4173185229,0.8511018753,-0.0234343391,0.4133228064,0.8634055257,-0.0257155523,0.4509224296,0.8402676582,-0.0167782195,0.4442251325,0.8599032760,-0.0231874641,0.4409526885,0.8757724762,-0.0259138457,0.4402425587,0.8892936707,-0.0271381792
7,1.0000000000,1.0000000000,0.6325798631,0.9356650114,-0.0000000281,0.6067190766,0.9167025089,0.0055773449,0.5827279687,0.9039226770,0.0046542869,0.5632154942,0.8967253566,0.0023539634,0.5489827394,0.8972759247,-0.0004852656,0.5767240524,0.8932146430,-0.0050506098,0.5463508964,0.8884106874,-0.0144835385,0.5276841521,0.8996791244,-0.0205181502,0.5158419609,0.9135655761,-0.0232638083,0.5817008615,0.9022098780,-0.0123177394,0.5492367744,0.8970263004,-0.0186125506,0.5282719731,0.9088418484,-0.0210991707,0.5144473910,0.9217549562,-0.0226910431,0.5889306068,0.9182292819,-0.0192337390,0.5578797460,0.9122567773,-0.0232630484,0.5374659300,0.9194175601,-0.0243636724,0.5231262445,0.9271113873,-0.0256368034,0.5972132683,0.9396863580,-0.0256068874,0.5776947737,0.9369918704,-0.0294932518,0.5626860857,0.9375644922,-0.0301652346,0.5500960946,0.9389631748,-0.0305010509,0.4745509624,0.8475233912,-0.0000000031,0.4593533576,0.8557120562,0.0016032056,0.4450797737,0.8598727584,0.0006604713,0.4367544651,0.8662174940,-0.0009150318,0.4289252758,0.8720126748,-0.0029820451,0.4329004884,0.8366318941,-0.0049401936,0.4162638783,0.8336807489,-0.0100959465,0.4040991664,0.8379750252,-0.0140333530,0.3953174651,0.8432376981,-0.0166504271,0.4365040958,0.8329268098,-0.0093721794,0.4185341299,0.8290539980,-0.0149279721,0.4069136381,0.8387328386,-0.0186269972,0.4008831978,0.8507170081,-0.0205853805,0.4434501529,0.8345472813,-0.0134670325,0.4260918796,0.8383563161,-0.0196557920,0.4164107740,0.8510935903,-0.0237781424,0.4118494391,0.8633431196,-0.0260354634,0.4521906376,0.8423568606,-0.0170322731,0.4445980489,0.8612102866,-0.0232643485,0.4412331283,0.8766507506,-0.0257151071,0.4405018687,0.8887912035,-0.0266868733
8,1.0000000000,1.0000000000,0.6327705383,0.9344356060,-0.0000000368,0.6071669459,0.9158813953,0.0057676942,0.5824683309,0.9030183554,0.0049903230,0.5623961091,0.8953654766,0.0027497110,0.5482457280,0.8950724006,-0.0001208499,0.5764948726,0.8944953680,-0.0045947935,0.5460869670,0.8900300860,-0.0138265239,0.5277186036,0.9019942284,-0.0199042540,0.5162575245,0.9162790179,-0.0227305554,0.5816264749,0.9034290910,-0.0119461324,0.5487398505,0.8991228938,-0.0179592278,0.5281919241,0.9111046791,-0.0205761306,0.5149981380,0.9241505265,-0.0224049874,0.5887259245,0.9192187190,-0.0189638399,0.5571696758,0.9132030606,-0.0228635762,0.5368153453,0.9208329916,-0.0241986159,0.5228121281,0.9294352531,-0.0257024206,0.5968272686,0.9403472543,-0.0254028421,0.5764827728,0.9378107190,-0.0291498173,0.5614669919,0.9386820197,-0.0299405307,0.5491229296,0.9409855008,-0.0304603241,0.4630345106,0.8452692032,-0.0000000073,0.4496223927,0.8436772227,-0.0008765190,0.4381549656,0.8492791057,-0.0029523238,0.4330879748,0.8622628450,-0.0049258200,0.4282463789,0.8722740412,-0.0073918658,0.4281884730,0.8306217194,-0.0099710571,0.4127337337,0.8336004019,-0.0147803174,0.4026232362,0.8393095732,-0.0181403030,0.3950435221,0.8457553983,-0.0208400786,0.4312178195,0.8334740400,-0.0132646356,0.4158702195,0.8330119252,-0.0178727396,0.4071394503,0.8430755734,-0.0205664635,0.4015993178,0.8546409607,-0.0228743106,0.4384658635,0.8402698636,-0.0162357129,0.4242485762,0.8444017172,-0.0223204289,0.4167329669,0.8542402387,-0.0257843826,0.4124403596,0.8642646074,-0.0281870924,0.4479124248,0.8516502976,-0.0187834706,0.4435439110,0.8705262542,-0.0264460593,0.4417430460,0.8841909170,-0.0293776114,0.4412322938,0.8948925138,-0.0308876224
9,1.0000000000,1.0000000000,0.6324448586,0.9354624748,-0.0000000326,0.6072386503,0.9166649580,0.0063716695,0.5830802917,0.9042173028,0.0059597776,0.5636556745,0.8965657353,0.0039291065,0.5502077937,0.8952876329,0.0013561590,0.5767233372,0.8957768679,-0.0031511744,0.5462437272,0.8910856247,-0.0115290247,0.5288997889,0.9025771618,-0.0169756692,0.5184862614,0.9165124893,-0.0194188785,0.5812556148,0.9047845006,-0.0104929926,0.5485281944,0.9004503489,-0.0158812907,0.5288723707,0.9124741554,-0.0182301737,0.5163986683,0.9258235097,-0.0198411159,0.5879154801,0.9204397798,-0.0174488090,0.5566109419,0.9149354696,-0.0206112526,0.5371279716,0.9224147797,-0.0216007791,0.5237948298,0.9310039282,-0.0229454860,0.5957842469,0.9415698647,-0.0238122437,0.5760601163,0.9391714334,-0.0268923528,0.5613568425,0.9398676157,-0.0273590665,0.5490923524,0.9418639541,-0.0276911668,0.4625857174,0.8453197479,-0.0000000211,0.4460857511,0.8476523161,0.0024335245,0.4309863150,0.8497527242,0.0017303599,0.4208725095,0.8528726101,0.0006235944,0.4118582010,0.8559505939,-0.0008941455,0.4260820746,0.8347196579,-0.0069895219,0.4118540883,0.8358236551,-0.0123222508,0.4021658003,0.8430041075,-0.0156549476,0.3965896964,0.8502244353,-0.0176578779,0.4311524630,0.8346134424,-0.0117548285,0.4164621532,0.8320425153,-0.0165093802,0.4062787592,0.8424142003,-0.0188612808,0.4009861350,0.8542489409,-0.0203075167,0.4393137097,0.8389790058,-0.0160717927,0.4265618324,0.8412479758,-0.0219352245,0.4171508551,0.8522478938,-0.0256145634,0.4113760293,0.8624796867,-0.0280253813,0.4491553605,0.8479464650,-0.0196610596,0.4445213675,0.8666688204,-0.0264450964,0.4409313500,0.8830188513,-0.0293815583,0.4387358129,0.8957672119,-0.0309375729
