frame,pose_detection_confidence,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,1.0000000000,0.7367487588,0.4440796409,-0.3807394366,0.9999330044,0.7557954192,0.4146362841,-0.3772683144,0.9998699427,0.7652731596,0.4162977845,-0.3777352969,0.9998638630,0.7746570110,0.4184156060,-0.3776875734,0.9998697042,0.7402510047,0.4127386212,-0.3483785987,0.9999178648,0.7366490966,0.4116240248,-0.3490082228,0.9999376535,0.7330103517,0.4100037217,-0.3494530916,0.9999499321,0.8035285463,0.4330375630,-0.2916094325,0.9999518394,0.7453896927,0.4208497010,-0.1609535967,0.9999225140,0.7529887580,0.4758054718,-0.3404653516,0.9999423027,0.7325912544,0.4757996171,-0.3064050072,0.9999346733,0.8668485148,0.6467321003,-0.2866169738,0.9998033643,0.6780588648,0.5750610075,0.0064583986,0.9997356534,0.8025956733,0.8713044344,-0.3272746075,0.9971836209,0.5730909942,0.7458649073,-0.0253199425,0.8507878184,0.6365592876,0.9516748853,-0.4482252485,0.9954189062,0.4887628505,0.8282919000,-0.3597937061,0.9806922674,0.5865268707,0.9407973886,-0.5172990561,0.9940435290,0.4603099525,0.8478158712,-0.4355046451,0.9853610396,0.5758126974,0.9107025266,-0.5317925811,0.9954315424,0.4613603354,0.8331325650,-0.4845189154,0.9891983867,0.5847344995,0.9103158116,-0.4538491070,0.9919044971,0.4790524244,0.8326914907,-0.3918579221,0.9860962033,0.7755229473,1.0333755016,-0.0763627738,0.8984354138,0.6632428765,0.9856904149,0.0762771815,0.9206393361,0.7746951580,1.3671177626,0.0062221023,0.1289477646,0.6585724950,1.3185981512,0.1282076687,0.0358501412,0.7514762282,1.6362266541,0.2454440445,0.0176491421,0.6564434171,1.6020792723,0.4521045983,0.0041542035,0.7656748295,1.6825350523,0.2617391646,0.0289636217,0.6613084674,1.6440960169,0.4801678658,0.0089238072,0.6903349161,1.6991082430,0.1069678366,0.0301687922,0.6371281147,1.6815737486,0.3594330847,0.0065886267
1,1.0000000000,0.7368800465,0.4444824093,-0.3382498785,0.9999322295,0.7560046911,0.4146437645,-0.3222492039,0.9998672009,0.7653769448,0.4163017926,-0.3325870946,0.9998615384,0.7748184204,0.4183774889,-0.3226792514,0.9998664856,0.7403566837,0.4129436612,-0.2928441465,0.9999167323,0.7368387444,0.4120567813,-0.3028255830,0.9999371171,0.7335527539,0.4108327627,-0.2939283252,0.9999490380,0.8036974972,0.4330537037,-0.2418321065,0.9999506474,0.7459464919,0.4215021982,-0.1055867549,0.9999207854,0.7533273778,0.4756975858,-0.2966675788,0.9999414682,0.7328081771,0.4758176423,-0.2612354172,0.9999341369,0.8669001416,0.6464624602,-0.2490990985,0.9998016953,0.6783924873,0.5754828404,0.0620821179,0.9997372627,0.8032844499,0.8703655458,-0.3032239651,0.9971024990,0.5743040152,0.7458845639,0.0081271823,0.8522027135,0.6365884888,0.9515718336,-0.4300827770,0.9952405095,0.4885648705,0.8363097048,-0.3555076010,0.9815186262,0.5868939757,0.9405201674,-0.4924439192,0.9938813448,0.4601515532,0.8574258685,-0.4337734878,0.9859386086,0.5772747397,0.9106109142,-0.5062371492,0.9953002334,0.4611633420,0.8426316977,-0.4817248583,0.9896276593,0.5849448442,0.9103158712,-0.4294759929,0.9917082191,0.4785424471,0.8432654142,-0.3882046938,0.9866223335,0.7771773934,1.0400387049,-0.0791207626,0.8908720016,0.6634245515,0.9925107360,0.0789670274,0.9152040482,0.7745683789,1.4039037228,-0.0524962321,0.1291327178,0.6581398249,1.3446078300,0.1405763328,0.0344404876,0.7513126135,1.6937550306,0.1401042789,0.0173031203,0.6558588743,1.6496398449,0.4429698288,0.0040524653,0.7650791407,1.7459682226,0.1501353681,0.0280082263,0.6608049273,1.6988923550,0.4664725959,0.0086443108,0.6907687187,1.7505685091,-0.0222091116,0.0295625478,0.6347966194,1.7202185392,0.3366347551,0.0064212522
2,1.0000000000,0.7368966272,0.4456135083,-0.3229682709,0.9999346733,0.7560041547,0.4149204195,-0.3220697641,0.9998708963,0.7653017981,0.4164418434,-0.3159561651,0.9998656511,0.7748199701,0.4184316993,-0.3224773109,0.9998694062,0.7403358221,0.4136255383,-0.2907629013,0.9999197721,0.7369116347,0.4130858832,-0.2856654310,0.9999397993,0.7337024808,0.4119332731,-0.2918270826,0.9999510050,0.8037680152,0.4331298376,-0.2218213824,0.9999518394,0.7463481053,0.4223755563,-0.0827749270,0.9999238849,0.7534437107,0.4759682463,-0.2803264939,0.9999431968,0.7328915821,0.4762449664,-0.2441517759,0.9999366999,0.8669274996,0.6460336162,-0.2309201623,0.9998019338,0.6787058504,0.5757656016,0.0838658726,0.9997475147,0.8037336684,0.8690173715,-0.2895985877,0.9970090389,0.5756787598,0.7457675714,0.0206607090,0.8557447195,0.6367332071,0.9519422997,-0.4199502024,0.9951238632,0.4882801607,0.8401577436,-0.3578822206,0.9828307033,0.5876432061,0.9410144091,-0.4952244759,0.9938380122,0.4570724368,0.8575495481,-0.4353295267,0.9869198203,0.5779967904,0.9110625386,-0.5089723468,0.9952694178,0.4608273208,0.8476444483,-0.4828657806,0.9903559089,0.5849581361,0.9112445712,-0.4307734668,0.9916669130,0.4785251915,0.8497565389,-0.3882946074,0.9875410795,0.7811430097,1.0454071760,-0.0855981186,0.8810001016,0.6651925445,0.9990636110,0.0853765681,0.9091308713,0.7767675519,1.4155774117,-0.0844590664,0.1271678209,0.6581403017,1.3598645926,0.1588310599,0.0325936116,0.7512887716,1.7072979212,0.1122330874,0.0167528950,0.6546348929,1.6683195829,0.4579436183,0.0039055697,0.7649897933,1.7599806786,0.1226727292,0.0269473270,0.6594046950,1.7191792727,0.4807278514,0.0083578359,0.6891332269,1.7626411915,-0.0583662428,0.0288767628,0.6306747794,1.7363058329,0.3400117457,0.0062258104
3,1.0000000000,0.7367876166,0.4475008982,-0.3260142046,0.9999347329,0.7557462454,0.4158169329,-0.3162689507,0.9998682737,0.7650093383,0.4167250186,-0.3185730431,0.9998635054,0.7744405270,0.4186870754,-0.3166672289,0.9998654723,0.7402611375,0.4154837430,-0.2867128849,0.9999192953,0.7368898560,0.4148483299,-0.2885689856,0.9999400377,0.7337658405,0.4142686129,-0.2877976596,0.9999508858,0.8037371967,0.4334128357,-0.2218023629,0.9999503493,0.7465235247,0.4236379378,-0.0840709700,0.9999240041,0.7533479182,0.4767177826,-0.2823623128,0.9999423027,0.7328716198,0.4771925994,-0.2465156128,0.9999366403,0.8669492306,0.6456961235,-0.2262964681,0.9997987747,0.6790731288,0.5759764279,0.0809512583,0.9997555614,0.8038242190,0.8674031568,-0.2833718530,0.9968850613,0.5769345002,0.7455606822,0.0177004675,0.8607310057,0.6369024336,0.9526767205,-0.4148349944,0.9950019717,0.4879020553,0.8413105012,-0.3636496510,0.9841391444,0.5891725421,0.9429228306,-0.4764172435,0.9937983155,0.4535534084,0.8571361303,-0.4451393783,0.9878907800,0.5789202452,0.9133819938,-0.4920124710,0.9952436686,0.4602074623,0.8486239910,-0.4914301634,0.9910739064,0.5849443078,0.9139391184,-0.4139287770,0.9916499257,0.4784821570,0.8533414602,-0.3942904174,0.9884508848,0.7824974656,1.0475062132,-0.0844366625,0.8713949323,0.6660606265,1.0018109083,0.0841715038,0.9033940434,0.7781067491,1.4175932407,-0.0713658407,0.1248403713,0.6591868997,1.3647322655,0.1547127217,0.0313018858,0.7530112863,1.7118754387,0.1226829514,0.0162188746,0.6549232602,1.6730433702,0.4475521147,0.0037839091,0.7662537098,1.7646695375,0.1326307356,0.0257822312,0.6595755219,1.7234486341,0.4705756009,0.0080563966,0.6920502186,1.7681933641,-0.0445214026,0.0280679129,0.6307701468,1.7418510914,0.3339985609,0.0060338546
4,1.0000000000,0.7365968855,0.4497683088,-0.3286986509,0.9999374151,0.7554185987,0.4167019725,-0.3216660023,0.9998726249,0.7645921746,0.4174503502,-0.3212793970,0.9998682737,0.7740212083,0.4189742506,-0.3220658004,0.9998692870,0.7400726080,0.4173069298,-0.2916412652,0.9999223948,0.7368156938,0.4172551040,-0.2916500601,0.9999426007,0.7337667942,0.4165108800,-0.2927144766,0.9999527335,0.8036057518,0.4341235211,-0.2235243420,0.9999517202,0.7465357222,0.4254437703,-0.0875343201,0.9999267459,0.7531562574,0.4781943468,-0.2845116392,0.9999439716,0.7328080644,0.4786452264,-0.2491156868,0.9999388456,0.8669790339,0.6455016731,-0.2260143161,0.9998007417,0.6794522635,0.5762740282,0.0781906103,0.9997642636,0.8038268857,0.8657640430,-0.2801402064,0.9968516231,0.5776854563,0.7454068066,0.0208849509,0.8646438718,0.6371115008,0.9532489648,-0.4092437126,0.9949740767,0.4873763873,0.8421911752,-0.3556516708,0.9852358699,0.5894393325,0.9433662295,-0.4836312532,0.9938240647,0.4521138370,0.8567959666,-0.4446777403,0.9887052774,0.5790265799,0.9144194126,-0.4987795949,0.9952658415,0.4588657618,0.8489713669,-0.4913217425,0.9916759729,0.5848080516,0.9152628779,-0.4207745492,0.9917086959,0.4776810408,0.8549463749,-0.3941987157,0.9892151356,0.7838750482,1.0501562357,-0.0858196095,0.8637665510,0.6674135327,1.0045818090,0.0855525285,0.8985260129,0.7791292071,1.4226747751,-0.0760326385,0.1232862845,0.6595616937,1.3683279753,0.1743165851,0.0297479425,0.7530456781,1.7176367044,0.1152778342,0.0157111138,0.6552240849,1.6779923439,0.4743977785,0.0036463749,0.7662774920,1.7709391117,0.1250574887,0.0248750634,0.6599642038,1.7296899557,0.4977785945,0.0077924565,0.6919335127,1.7737272978,-0.0526309237,0.0273627322,0.6309307218,1.7452867031,0.3638205826,0.0058324430
5,1.0000000000,0.7363173961,0.4525321890,-0.3274640862,0.9999400973,0.7549554706,0.4189670980,-0.3216526806,0.9998772740,0.7640524601,0.4192074482,-0.3205920095,0.9998729229,0.7734181881,0.4203265905,-0.3220370114,0.9998732209,0.7397613525,0.4203018844,-0.2915324271,0.9999258518,0.7366895801,0.4202624052,-0.2907001462,0.9999452829,0.7337357998,0.4197316468,-0.2926286757,0.9999549389,0.8033030694,0.4353314143,-0.2243202249,0.9999525547,0.7465071749,0.4277743521,-0.0865519819,0.9999297261,0.7529005489,0.4808968814,-0.2835527309,0.9999451637,0.7327048182,0.4808330442,-0.2476870767,0.9999408126,0.8669908133,0.6451062591,-0.2282103280,0.9998003840,0.6797031786,0.5766338434,0.0821989393,0.9997752309,0.8041951138,0.8638166872,-0.2804272228,0.9967752099,0.5780752352,0.7453437616,0.0356592159,0.8705947995,0.6375581031,0.9534326033,-0.4056002480,0.9947514534,0.4867060241,0.8429415512,-0.3292912231,0.9863288403,0.5896813273,0.9439652562,-0.4691293538,0.9935936332,0.4482938945,0.8562843800,-0.4076118171,0.9894772768,0.5789943337,0.9152165055,-0.4846272767,0.9950881004,0.4572173059,0.8500519991,-0.4567234814,0.9922448993,0.5845112205,0.9159137607,-0.4077506065,0.9914507270,0.4769757092,0.8563324213,-0.3615878820,0.9899337292,0.7837989926,1.0505270958,-0.0866660997,0.8609626889,0.6683682203,1.0055652857,0.0864096805,0.8984182477,0.7803515792,1.4221872091,-0.0813145563,0.1215978935,0.6600303054,1.3669154644,0.1653757542,0.0286210980,0.7536639571,1.7147586346,0.0864316896,0.0151631497,0.6556683183,1.6766009331,0.4587351680,0.0035071240,0.7668433785,1.7666376829,0.0937896073,0.0238206517,0.6605797410,1.7275617123,0.4802830815,0.0075188698,0.6920843124,1.7716997862,-0.0788649470,0.0264464729,0.6310727596,1.7451775074,0.3530505896,0.0056223064
6,1.0000000000,0.7359415745,0.4558231173,-0.3281540642,0.9999431968,0.7544368505,0.4221664071,-0.3177349567,0.9998831153,0.7633357189,0.4219113398,-0.3223858270,0.9998787642,0.7727334499,0.4228166938,-0.3180949092,0.9998785257,0.7394496799,0.4236280620,-0.2868218720,0.9999297857,0.7365329527,0.4234638127,-0.2915131074,0.9999483228,0.7337256074,0.4228979647,-0.2879159749,0.9999573827,0.8028321840,0.4367028482,-0.2288985359,0.9999540448,0.7465051050,0.4302280171,-0.0855028180,0.9999333024,0.7525424066,0.4844218139,-0.2848334429,0.9999468923,0.7325831286,0.4837109974,-0.2475430348,0.9999431968,0.8669660551,0.6444408996,-0.2339109144,0.9998022318,0.6798952661,0.5768846878,0.0867597094,0.9997859001,0.8049860310,0.8613441341,-0.2883328550,0.9967675209,0.5786072232,0.7452072346,0.0461544792,0.8762123585,0.6381004341,0.9534199598,-0.4124931999,0.9946812987,0.4860521846,0.8439137813,-0.3086412310,0.9873433709,0.5902441740,0.9447534680,-0.4761695862,0.9935254455,0.4453350902,0.8541015983,-0.3768986464,0.9902005792,0.5789170265,0.9159950614,-0.4911621809,0.9950380921,0.4567399919,0.8518401980,-0.4267446399,0.9927781820,0.5839448571,0.9163008928,-0.4137277305,0.9913796782,0.4769782126,0.8595747352,-0.3328653872,0.9906041026,0.7836835980,1.0503151417,-0.0896179155,0.8592192531,0.6683533192,1.0052081347,0.0893552378,0.8985180259,0.7811641693,1.4222390652,-0.0873278975,0.1213083714,0.6596535444,1.3643394709,0.1703225225,0.0275635440,0.7518443465,1.7178131342,0.0849712193,0.0148883099,0.6537385583,1.6770979166,0.4663482010,0.0034070315,0.7644326687,1.7699128389,0.0932010114,0.0233267583,0.6591945887,1.7295277119,0.4888429642,0.0073854341,0.6889116764,1.7756102085,-0.0792785585,0.0260020234,0.6245914698,1.7453551292,0.3640443981,0.0054824338
7,1.0000000000,0.7356067695,0.4588540820,-0.3330517096,0.9999457598,0.7537245154,0.4250621796,-0.3318462670,0.9998880625,0.7626486051,0.4245797880,-0.3286536956,0.9998837113,0.7718028426,0.4250975847,-0.3321805894,0.9998829365,0.7390590310,0.4264131486,-0.2991800010,0.9999331832,0.7363922496,0.4261590007,-0.2963256384,0.9999508858,0.7337089777,0.4253084064,-0.3002890050,0.9999594688,0.8023973954,0.4377741491,-0.2376807000,0.9999552369,0.7465224434,0.4322825175,-0.0885742279,0.9999363422,0.7521905161,0.4874353086,-0.2900786641,0.9999480247,0.7324931749,0.4864946946,-0.2510140811,0.9999449849,0.8670008916,0.6438589768,-0.2428150496,0.9998022318,0.6802839312,0.5770015069,0.0858216630,0.9997941256,0.8057444940,0.8588672025,-0.3019874444,0.9966580868,0.5796030974,0.7447292989,0.0439926743,0.8800535798,0.6383567043,0.9533975636,-0.4270439379,0.9944359660,0.4855535447,0.8453821371,-0.3078558014,0.9881662726,0.5902421474,0.9450441599,-0.5025413036,0.9932886362,0.4442009926,0.8540040255,-0.3931182921,0.9907683730,0.5782765746,0.9163402319,-0.5175367594,0.9948607087,0.4555765390,0.8541778922,-0.4420450926,0.9932011366,0.5825158358,0.9164022207,-0.4381573796,0.9910864234,0.4763298929,0.8630105853,-0.3479436636,0.9911314845,0.7835848331,1.0500816107,-0.0898285508,0.8547398448,0.6684149504,1.0049920082,0.0895683244,0.8964084983,0.7842790484,1.4196835756,-0.0846625492,0.1184633002,0.6599687934,1.3622434139,0.1754575372,0.0262155980,0.7516093850,1.7166256905,0.0836004317,0.0144442348,0.6530110240,1.6757215261,0.4684126973,0.0032810220,0.7638838291,1.7691684961,0.0908790976,0.0225681905,0.6581814289,1.7285135984,0.4910018742,0.0071745454,0.6868987083,1.7749139071,-0.0883145481,0.0253838580,0.6234921813,1.7442280054,0.3637748659,0.0053223548
8,1.0000000000,0.7354605694,0.4609250853,-0.3383806335,0.9999477863,0.7535467148,0.4269274473,-0.3338528574,0.9998917580,0.7622788998,0.4264333373,-0.3348196047,0.9998871684,0.7716319561,0.4265915453,-0.3341706395,0.9998859167,0.7389200330,0.4282598794,-0.3001188636,0.9999358654,0.7363030709,0.4280386400,-0.3013378058,0.9999529719,0.7337028384,0.4270667732,-0.3012485802,0.9999611974,0.8021987511,0.4384280969,-0.2444505009,0.9999557137,0.7465484091,0.4336674893,-0.0938866095,0.9999386072,0.7520358813,0.4892706699,-0.2951198351,0.9999486208,0.7324773787,0.4885221044,-0.2547525559,0.9999462366,0.8672523084,0.6435896329,-0.2497554046,0.9998013377,0.6809192534,0.5771354168,0.0799185266,0.9998020530,0.8060799758,0.8570791746,-0.3115217039,0.9965656400,0.5808084574,0.7440021946,0.0385722728,0.8839513659,0.6382909824,0.9533960816,-0.4368055566,0.9941487312,0.4852102111,0.8465010877,-0.3127679154,0.9889312387,0.5902154446,0.9454115629,-0.5039976239,0.9929776192,0.4439080358,0.8537592292,-0.3888514340,0.9912943244,0.5774072409,0.9166513681,-0.5186226368,0.9946241975,0.4550589621,0.8558041453,-0.4391037822,0.9935908318,0.5811954141,0.9165553451,-0.4395830333,0.9907029271,0.4761112034,0.8655267954,-0.3447226286,0.9916171432,0.7835239768,1.0499323606,-0.0910201147,0.8516262174,0.6686257720,1.0051313639,0.0907606632,0.8956396580,0.7845821381,1.4213923216,-0.0864668339,0.1159780547,0.6600587964,1.3627350330,0.1742701083,0.0250269510,0.7512990832,1.7193912268,0.0756531879,0.0140260952,0.6526452303,1.6767276525,0.4675507247,0.0031517686,0.7635158300,1.7721238136,0.0824370086,0.0218833238,0.6576804519,1.7292875051,0.4904225469,0.0069538997,0.6862192154,1.7766605616,-0.0958066881,0.0247118659,0.6235496998,1.7449150085,0.3631275892,0.0051380177
9,1.0000000000,0.7354456419,0.4620989761,-0.3430846241,0.9999492168,0.7534166574,0.4282322824,-0.3365373909,0.9998943806,0.7621744424,0.4275017305,-0.3393551996,0.9998894930,0.7715065479,0.4276121855,-0.3368492723,0.9998877645,0.7388252020,0.4296451807,-0.3024974465,0.9999379516,0.7362632602,0.4292709643,-0.3057328371,0.9999545217,0.7337018847,0.4283355474,-0.3036508560,0.9999625683,0.8021872570,0.4388242197,-0.2473848820,0.9999557137,0.7465939999,0.4344748803,-0.0980515505,0.9999404550,0.7520512177,0.4902324490,-0.2990180390,0.9999485016,0.7325689664,0.4898775484,-0.2582733377,0.9999468327,0.8676572694,0.6435231924,-0.2525637949,0.9997965693,0.6816360223,0.5773525290,0.0747863215,0.9998075962,0.8060875505,0.8561050713,-0.3147406529,0.9964635968,0.5816805880,0.7434344373,0.0364367605,0.8874232769,0.6380319881,0.9533764153,-0.4401460444,0.9937924147,0.4849399465,0.8469805118,-0.3141080014,0.9895778298,0.5898954272,0.9457885027,-0.5077692866,0.9925735593,0.4430880845,0.8530153036,-0.3891932368,0.9917178154,0.5762533545,0.9169670939,-0.5229945779,0.9943164587,0.4543185234,0.8560926914,-0.4403911531,0.9939078093,0.5799301267,0.9166411757,-0.4433675110,0.9901930094,0.4759395719,0.8661699891,-0.3452388942,0.9920049310,0.7834331393,1.0499033928,-0.0919803455,0.8476146460,0.6687828898,1.0055428743,0.0917358696,0.8942881823,0.7855486274,1.4270840883,-0.0949452892,0.1145585775,0.6615152955,1.3658659458,0.1639063358,0.0241496060,0.7524637580,1.7254904509,0.0664273873,0.0136409970,0.6539751887,1.6812262535,0.4545120895,0.0030331057,0.7653099298,1.7779520750,0.0732104853,0.0212196577,0.6589848995,1.7333664894,0.4775849283,0.0067614205,0.6862512231,1.7827072144,-0.1052831411,0.0240886193,0.6240816712,1.7495716810,0.3504669368,0.0049817897
