frame,pose_detection_confidence,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,1.0000000000,0.7367487174,0.4440813952,-0.3807518053,0.9999330044,0.7557954192,0.4146362841,-0.3772683144,0.9998699427,0.7652728766,0.4162998084,-0.3777453295,0.9998638630,0.7746570110,0.4184156060,-0.3776875734,0.9998697042,0.7402510047,0.4127386212,-0.3483785987,0.9999178648,0.7366489750,0.4116266559,-0.3490206146,0.9999376535,0.7330103517,0.4100037217,-0.3494530916,0.9999499321,0.8035283791,0.4330384360,-0.2916140801,0.9999518394,0.7453897639,0.4208514992,-0.1609586439,0.9999225140,0.7529888026,0.4758067698,-0.3404766533,0.9999423027,0.7325919755,0.4758022275,-0.3064190317,0.9999346733,0.8668490541,0.6467319262,-0.2866184471,0.9998033643,0.6780610668,0.5750614755,0.0064563809,0.9997356534,0.8025955713,0.8713028558,-0.3272781206,0.9971836209,0.5730923874,0.7458638498,-0.0253239897,0.8507878184,0.6365577599,0.9516746486,-0.4482268248,0.9954189062,0.4887620859,0.8282930383,-0.3597954542,0.9806922674,0.5865268707,0.9407973886,-0.5172990561,0.9940435290,0.4603099525,0.8478158712,-0.4355046451,0.9853610396,0.5758126974,0.9107025266,-0.5317925811,0.9954315424,0.4613603354,0.8331325650,-0.4845189154,0.9891983867,0.5847344995,0.9103158116,-0.4538491070,0.9919044971,0.4790524244,0.8326914907,-0.3918579221,0.9860962033,0.7755229473,1.0333755016,-0.0763627738,0.8984354138,0.6632428765,0.9856904149,0.0762771815,0.9206393361,0.7746951580,1.3671177626,0.0062221023,0.1289477646,0.6585724950,1.3185981512,0.1282076687,0.0358501412,0.7514762282,1.6362266541,0.2454440445,0.0176491421,0.6564434171,1.6020792723,0.4521045983,0.0041542035,0.7656748295,1.6825350523,0.2617391646,0.0289636217,0.6613084674,1.6440960169,0.4801678658,0.0089238072,0.6903349161,1.6991082430,0.1069678366,0.0301687922,0.6371281147,1.6815737486,0.3594330847,0.0065886267
1,1.0000000000,0.7368237845,0.4448504681,-0.3535602945,0.9999322295,0.7560046911,0.4146437645,-0.3222492039,0.9998672009,0.7652869451,0.4162443096,-0.3485404999,0.9998615384,0.7748184204,0.4183774889,-0.3226792514,0.9998664856,0.7403566837,0.4129436612,-0.2928441465,0.9999167323,0.7367785586,0.4123656758,-0.3192189087,0.9999371171,0.7335527539,0.4108327627,-0.2939283252,0.9999490380,0.8036619037,0.4330550286,-0.2581690582,0.9999506474,0.7458518608,0.4215998765,-0.1241949640,0.9999207854,0.7532091586,0.4757904315,-0.3120175278,0.9999414682,0.7327378063,0.4759706312,-0.2771453779,0.9999341369,0.8668886469,0.6464190028,-0.2593626717,0.9998016953,0.6783969159,0.5754086494,0.0425525353,0.9997372627,0.8030816671,0.8701892125,-0.3081865112,0.9971024990,0.5743896461,0.7458139417,-0.0042767801,0.8522027135,0.6366284166,0.9518865240,-0.4336492190,0.9952405095,0.4885230680,0.8339861770,-0.3601493134,0.9815186262,0.5868939757,0.9405201674,-0.4924439192,0.9938813448,0.4601515532,0.8574258685,-0.4337734878,0.9859386086,0.5772747397,0.9106109142,-0.5062371492,0.9953002334,0.4611633420,0.8426316977,-0.4817248583,0.9896276593,0.5849448442,0.9103158712,-0.4294759929,0.9917082191,0.4785424471,0.8432654142,-0.3882046938,0.9866223335,0.7771773934,1.0400387049,-0.0791207626,0.8908720016,0.6634245515,0.9925107360,0.0789670274,0.9152040482,0.7745683789,1.4039037228,-0.0524962321,0.1291327178,0.6581398249,1.3446078300,0.1405763328,0.0344404876,0.7513126135,1.6937550306,0.1401042789,0.0173031203,0.6558588743,1.6496398449,0.4429698288,0.0040524653,0.7650791407,1.7459682226,0.1501353681,0.0280082263,0.6608049273,1.6988923550,0.4664725959,0.0086443108,0.6907687187,1.7505685091,-0.0222091116,0.0295625478,0.6347966194,1.7202185392,0.3366347551,0.0064212522
2,1.0000000000,0.7368362009,0.4459895048,-0.3342698714,0.9999346733,0.7560041547,0.4149204195,-0.3220697641,0.9998708963,0.7651995431,0.4163765602,-0.3277394534,0.9998656511,0.7748199701,0.4184316993,-0.3224773109,0.9998694062,0.7403358221,0.4136255383,-0.2907629013,0.9999197721,0.7368593340,0.4134829250,-0.2980253852,0.9999397993,0.7337024808,0.4119332731,-0.2918270826,0.9999510050,0.8037315723,0.4332143022,-0.2338810573,0.9999518394,0.7462213493,0.4225753552,-0.0976113886,0.9999238849,0.7533313530,0.4761229317,-0.2916314923,0.9999431968,0.7328312501,0.4764339422,-0.2562028518,0.9999366999,0.8669190995,0.6460946239,-0.2387700217,0.9998019338,0.6787283981,0.5757324233,0.0686079772,0.9997475147,0.8034785367,0.8689146489,-0.2929802915,0.9970090389,0.5756057253,0.7457388013,0.0117478469,0.8557447195,0.6367507279,0.9522053848,-0.4215721052,0.9951238632,0.4882205096,0.8384102319,-0.3593331980,0.9828307033,0.5876432061,0.9410144091,-0.4952244759,0.9938380122,0.4570724368,0.8575495481,-0.4353295267,0.9869198203,0.5779967904,0.9110625386,-0.5089723468,0.9952694178,0.4608273208,0.8476444483,-0.4828657806,0.9903559089,0.5849581361,0.9112445712,-0.4307734668,0.9916669130,0.4785251915,0.8497565389,-0.3882946074,0.9875410795,0.7811430097,1.0454071760,-0.0855981186,0.8810001016,0.6651925445,0.9990636110,0.0853765681,0.9091308713,0.7767675519,1.4155774117,-0.0844590664,0.1271678209,0.6581403017,1.3598645926,0.1588310599,0.0325936116,0.7512887716,1.7072979212,0.1122330874,0.0167528950,0.6546348929,1.6683195829,0.4579436183,0.0039055697,0.7649897933,1.7599806786,0.1226727292,0.0269473270,0.6594046950,1.7191792727,0.4807278514,0.0083578359,0.6891332269,1.7626411915,-0.0583662428,0.0288767628,0.6306747794,1.7363058329,0.3400117457,0.0062258104
3,1.0000000000,0.7367476424,0.4477099898,-0.3251027201,0.9999347329,0.7557462454,0.4158169329,-0.3162689507,0.9998682737,0.7649486952,0.4168951287,-0.3178159535,0.9998635054,0.7744405270,0.4186870754,-0.3166672289,0.9998654723,0.7402611375,0.4154837430,-0.2867128849,0.9999192953,0.7368668789,0.4152067526,-0.2879305046,0.9999400377,0.7337658405,0.4142686129,-0.2877976596,0.9999508858,0.8036903927,0.4336383927,-0.2217851630,0.9999503493,0.7464490881,0.4239407415,-0.0843324552,0.9999240041,0.7533052681,0.4770882340,-0.2816840123,0.9999423027,0.7328478686,0.4774102744,-0.2459759691,0.9999366403,0.8669361385,0.6457545796,-0.2275594496,0.9997987747,0.6790492830,0.5760322369,0.0818911790,0.9997555614,0.8037817907,0.8673851251,-0.2836839818,0.9968850613,0.5766532419,0.7456337458,0.0220714759,0.8607310057,0.6369588303,0.9526222079,-0.4133217833,0.9950019717,0.4878143072,0.8411780517,-0.3551205602,0.9841391444,0.5891725421,0.9429228306,-0.4764172435,0.9937983155,0.4535534084,0.8571361303,-0.4451393783,0.9878907800,0.5789202452,0.9133819938,-0.4920124710,0.9952436686,0.4602074623,0.8486239910,-0.4914301634,0.9910739064,0.5849443078,0.9139391184,-0.4139287770,0.9916499257,0.4784821570,0.8533414602,-0.3942904174,0.9884508848,0.7824974656,1.0475062132,-0.0844366625,0.8713949323,0.6660606265,1.0018109083,0.0841715038,0.9033940434,0.7781067491,1.4175932407,-0.0713658407,0.1248403713,0.6591868997,1.3647322655,0.1547127217,0.0313018858,0.7530112863,1.7118754387,0.1226829514,0.0162188746,0.6549232602,1.6730433702,0.4475521147,0.0037839091,0.7662537098,1.7646695375,0.1326307356,0.0257822312,0.6595755219,1.7234486341,0.4705756009,0.0080563966,0.6920502186,1.7681933641,-0.0445214026,0.0280679129,0.6307701468,1.7418510914,0.3339985609,0.0060338546
4,1.0000000000,0.7365523246,0.4500235071,-0.3233111568,0.9999374151,0.7554185987,0.4167019725,-0.3216660023,0.9998726249,0.7645261989,0.4179828108,-0.3160276824,0.9998682737,0.7740212083,0.4189742506,-0.3220658004,0.9998692870,0.7400726080,0.4173069298,-0.2916412652,0.9999223948,0.7368031910,0.4175495013,-0.2859746324,0.9999426007,0.7337667942,0.4165108800,-0.2927144766,0.9999527335,0.8035165220,0.4343854443,-0.2194491152,0.9999517202,0.7465454692,0.4257368467,-0.0809296684,0.9999267459,0.7531360929,0.4788394307,-0.2795273595,0.9999439716,0.7327935490,0.4789977108,-0.2435376807,0.9999388456,0.8669426175,0.6453776630,-0.2247485350,0.9998007417,0.6793519301,0.5763188278,0.0862778819,0.9997642636,0.8040856398,0.8655715250,-0.2806403870,0.9968516231,0.5774974017,0.7454993790,0.0294616872,0.8646438718,0.6372643885,0.9530231720,-0.4094468032,0.9949740767,0.4873005666,0.8427047936,-0.3455903068,0.9852358699,0.5894393325,0.9433662295,-0.4836312532,0.9938240647,0.4521138370,0.8567959666,-0.4446777403,0.9887052774,0.5790265799,0.9144194126,-0.4987795949,0.9952658415,0.4588657618,0.8489713669,-0.4913217425,0.9916759729,0.5848080516,0.9152628779,-0.4207745492,0.9917086959,0.4776810408,0.8549463749,-0.3941987157,0.9892151356,0.7838750482,1.0501562357,-0.0858196095,0.8637665510,0.6674135327,1.0045818090,0.0855525285,0.8985260129,0.7791292071,1.4226747751,-0.0760326385,0.1232862845,0.6595616937,1.3683279753,0.1743165851,0.0297479425,0.7530456781,1.7176367044,0.1152778342,0.0157111138,0.6552240849,1.6779923439,0.4743977785,0.0036463749,0.7662774920,1.7709391117,0.1250574887,0.0248750634,0.6599642038,1.7296899557,0.4977785945,0.0077924565,0.6919335127,1.7737272978,-0.0526309237,0.0273627322,0.6309307218,1.7452867031,0.3638205826,0.0058324430
5,1.0000000000,0.7362730286,0.4527815966,-0.3253067900,0.9999400973,0.7549554706,0.4189670980,-0.3216526806,0.9998772740,0.7639690684,0.4196993020,-0.3186389109,0.9998729229,0.7734181881,0.4203265905,-0.3220370114,0.9998732209,0.7397613525,0.4203018844,-0.2915324271,0.9999258518,0.7366872465,0.4203172069,-0.2881586195,0.9999452829,0.7337357998,0.4197316468,-0.2926286757,0.9999549389,0.8032216609,0.4353993485,-0.2230020557,0.9999525547,0.7465600050,0.4278445533,-0.0824450715,0.9999297261,0.7528638093,0.4813034215,-0.2815444791,0.9999451637,0.7326933167,0.4811459422,-0.2449395552,0.9999408126,0.8669524523,0.6449369288,-0.2278239340,0.9998003840,0.6796460851,0.5765879351,0.0866699849,0.9997752309,0.8044946444,0.8635011700,-0.2833268877,0.9967752099,0.5782155536,0.7453104216,0.0357730507,0.8705947995,0.6376389504,0.9533019551,-0.4104398062,0.9947514534,0.4867199433,0.8436358787,-0.3322128187,0.9863288403,0.5896813273,0.9439652562,-0.4691293538,0.9935936332,0.4482938945,0.8562843800,-0.4076118171,0.9894772768,0.5789943337,0.9152165055,-0.4846272767,0.9950881004,0.4572173059,0.8500519991,-0.4567234814,0.9922448993,0.5845112205,0.9159137607,-0.4077506065,0.9914507270,0.4769757092,0.8563324213,-0.3615878820,0.9899337292,0.7837989926,1.0505270958,-0.0866660997,0.8609626889,0.6683682203,1.0055652857,0.0864096805,0.8984182477,0.7803515792,1.4221872091,-0.0813145563,0.1215978935,0.6600303054,1.3669154644,0.1653757542,0.0286210980,0.7536639571,1.7147586346,0.0864316896,0.0151631497,0.6556683183,1.6766009331,0.4587351680,0.0035071240,0.7668433785,1.7666376829,0.0937896073,0.0238206517,0.6605797410,1.7275617123,0.4802830815,0.0075188698,0.6920843124,1.7716997862,-0.0788649470,0.0264464729,0.6310727596,1.7451775074,0.3530505896,0.0056223064
6,1.0000000000,0.7359580129,0.4556917343,-0.3290185158,0.9999431968,0.7544368505,0.4221664071,-0.3177349567,0.9998831153,0.7633543361,0.4218618037,-0.3233200447,0.9998787642,0.7727334499,0.4228166938,-0.3180949092,0.9998785257,0.7394496799,0.4236280620,-0.2868218720,0.9999297857,0.7365469934,0.4231681950,-0.2920719246,0.9999483228,0.7337256074,0.4228979647,-0.2879159749,0.9999573827,0.8028609051,0.4365099604,-0.2294391925,0.9999540448,0.7465452811,0.4300079242,-0.0857725864,0.9999333024,0.7525480136,0.4841155368,-0.2854678906,0.9999468923,0.7325839467,0.4836269294,-0.2478276010,0.9999431968,0.8669955971,0.6444562012,-0.2341882344,0.9998022318,0.6799791007,0.5768231154,0.0855287028,0.9997859001,0.8050107659,0.8613064305,-0.2904734851,0.9967675209,0.5789502207,0.7450169134,0.0401680785,0.8762123585,0.6379912783,0.9534344801,-0.4161735896,0.9946812987,0.4861453464,0.8444599579,-0.3199510393,0.9873433709,0.5902441740,0.9447534680,-0.4761695862,0.9935254455,0.4453350902,0.8541015983,-0.3768986464,0.9902005792,0.5789170265,0.9159950614,-0.4911621809,0.9950380921,0.4567399919,0.8518401980,-0.4267446399,0.9927781820,0.5839448571,0.9163008928,-0.4137277305,0.9913796782,0.4769782126,0.8595747352,-0.3328653872,0.9906041026,0.7836835980,1.0503151417,-0.0896179155,0.8592192531,0.6683533192,1.0052081347,0.0893552378,0.8985180259,0.7811641693,1.4222390652,-0.0873278975,0.1213083714,0.6596535444,1.3643394709,0.1703225225,0.0275635440,0.7518443465,1.7178131342,0.0849712193,0.0148883099,0.6537385583,1.6770979166,0.4663482010,0.0034070315,0.7644326687,1.7699128389,0.0932010114,0.0233267583,0.6591945887,1.7295277119,0.4888429642,0.0073854341,0.6889116764,1.7756102085,-0.0792785585,0.0260020234,0.6245914698,1.7453551292,0.3640443981,0.0054824338
7,1.0000000000,0.7356731231,0.4583727160,-0.3335202240,0.9999457598,0.7537245154,0.4250621796,-0.3318462670,0.9998880625,0.7627897213,0.4240852241,-0.3288041555,0.9998837113,0.7718028426,0.4250975847,-0.3321805894,0.9998829365,0.7390590310,0.4264131486,-0.2991800010,0.9999331832,0.7364114815,0.4257427442,-0.2966287414,0.9999508858,0.7337089777,0.4253084064,-0.3002890050,0.9999594688,0.8025202636,0.4375181076,-0.2365562095,0.9999552369,0.7465341276,0.4319413912,-0.0897102571,0.9999363422,0.7522619204,0.4867503381,-0.2901187973,0.9999480247,0.7325081702,0.4860851180,-0.2512620414,0.9999449849,0.8671112689,0.6440186509,-0.2414598278,0.9998022318,0.6804149758,0.5770221553,0.0832517850,0.9997941256,0.8055181192,0.8592355408,-0.2996373565,0.9966580868,0.5797856744,0.7445919678,0.0414951482,0.8800535798,0.6382018698,0.9534602105,-0.4246277749,0.9944359660,0.4856430274,0.8453402449,-0.3127687818,0.9881662726,0.5902421474,0.9450441599,-0.5025413036,0.9932886362,0.4442009926,0.8540040255,-0.3931182921,0.9907683730,0.5782765746,0.9163402319,-0.5175367594,0.9948607087,0.4555765390,0.8541778922,-0.4420450926,0.9932011366,0.5825158358,0.9164022207,-0.4381573796,0.9910864234,0.4763298929,0.8630105853,-0.3479436636,0.9911314845,0.7835848331,1.0500816107,-0.0898285508,0.8547398448,0.6684149504,1.0049920082,0.0895683244,0.8964084983,0.7842790484,1.4196835756,-0.0846625492,0.1184633002,0.6599687934,1.3622434139,0.1754575372,0.0262155980,0.7516093850,1.7166256905,0.0836004317,0.0144442348,0.6530110240,1.6757215261,0.4684126973,0.0032810220,0.7638838291,1.7691684961,0.0908790976,0.0225681905,0.6581814289,1.7285135984,0.4910018742,0.0071745454,0.6868987083,1.7749139071,-0.0883145481,0.0253838580,0.6234921813,1.7442280054,0.3637748659,0.0053223548
8,1.0000000000,0.7354781962,0.4605189503,-0.3380169236,0.9999477863,0.7535467148,0.4269274473,-0.3338528574,0.9998917580,0.7623705668,0.4259979972,-0.3339579574,0.9998871684,0.7716319561,0.4265915453,-0.3341706395,0.9998859167,0.7389200330,0.4282598794,-0.3001188636,0.9999358654,0.7363039698,0.4278149624,-0.3010420677,0.9999529719,0.7337028384,0.4270667732,-0.3012485802,0.9999611974,0.8022729388,0.4383032237,-0.2424717113,0.9999557137,0.7465396281,0.4334571160,-0.0935745756,0.9999386072,0.7520734177,0.4888084066,-0.2945444188,0.9999486208,0.7325071753,0.4882018631,-0.2547033506,0.9999462366,0.8673207147,0.6437025843,-0.2474789725,0.9998013377,0.6809824752,0.5772015206,0.0800745469,0.9998020530,0.8058827410,0.8575315651,-0.3077081920,0.9965656400,0.5806724227,0.7440828897,0.0404375109,0.8839513659,0.6381952727,0.9534294122,-0.4324494297,0.9941487312,0.4852392787,0.8461724436,-0.3104855286,0.9889312387,0.5902154446,0.9454115629,-0.5039976239,0.9929776192,0.4439080358,0.8537592292,-0.3888514340,0.9912943244,0.5774072409,0.9166513681,-0.5186226368,0.9946241975,0.4550589621,0.8558041453,-0.4391037822,0.9935908318,0.5811954141,0.9165553451,-0.4395830333,0.9907029271,0.4761112034,0.8655267954,-0.3447226286,0.9916171432,0.7835239768,1.0499323606,-0.0910201147,0.8516262174,0.6686257720,1.0051313639,0.0907606632,0.8956396580,0.7845821381,1.4213923216,-0.0864668339,0.1159780547,0.6600587964,1.3627350330,0.1742701083,0.0250269510,0.7512990832,1.7193912268,0.0756531879,0.0140260952,0.6526452303,1.6767276525,0.4675507247,0.0031517686,0.7635158300,1.7721238136,0.0824370086,0.0218833238,0.6576804519,1.7292875051,0.4904225469,0.0069538997,0.6862192154,1.7766605616,-0.0958066881,0.0247118659,0.6235496998,1.7449150085,0.3631275892,0.0051380177
9,1.0000000000,0.7354099253,0.4620352291,-0.3417326097,0.9999492168,0.7534166574,0.4282322824,-0.3365373909,0.9998943806,0.7621375566,0.4274259224,-0.3378171800,0.9998894930,0.7715065479,0.4276121855,-0.3368492723,0.9998877645,0.7388252020,0.4296451807,-0.3024974465,0.9999379516,0.7362408329,0.4293459538,-0.3046322520,0.9999545217,0.7337018847,0.4283355474,-0.3036508560,0.9999625683,0.8021454011,0.4388581964,-0.2460145705,0.9999557137,0.7465667352,0.4345201665,-0.0966002761,0.9999404550,0.7520236656,0.4901836430,-0.2979764882,0.9999485016,0.7326123142,0.4898275784,-0.2577201793,0.9999468327,0.8676017689,0.6435262849,-0.2508785261,0.9997965693,0.6816523937,0.5773709800,0.0768834313,0.9998075962,0.8060532717,0.8562765296,-0.3125625515,0.9964635968,0.5814803075,0.7435899602,0.0387460573,0.8874232769,0.6379683177,0.9533735059,-0.4371676725,0.9937924147,0.4849182624,0.8468212627,-0.3104971013,0.9895778298,0.5898954272,0.9457885027,-0.5077692866,0.9925735593,0.4430880845,0.8530153036,-0.3891932368,0.9917178154,0.5762533545,0.9169670939,-0.5229945779,0.9943164587,0.4543185234,0.8560926914,-0.4403911531,0.9939078093,0.5799301267,0.9166411757,-0.4433675110,0.9901930094,0.4759395719,0.8661699891,-0.3452388942,0.9920049310,0.7834331393,1.0499033928,-0.0919803455,0.8476146460,0.6687828898,1.0055428743,0.0917358696,0.8942881823,0.7855486274,1.4270840883,-0.0949452892,0.1145585775,0.6615152955,1.3658659458,0.1639063358,0.0241496060,0.7524637580,1.7254904509,0.0664273873,0.0136409970,0.6539751887,1.6812262535,0.4545120895,0.0030331057,0.7653099298,1.7779520750,0.0732104853,0.0212196577,0.6589848995,1.7333664894,0.4775849283,0.0067614205,0.6862512231,1.7827072144,-0.1052831411,0.0240886193,0.6240816712,1.7495716810,0.3504669368,0.0049817897
