frame,pose_detection_confidence,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,1.0000000000,0.4960250047,0.4095414548,-0.6799819769,0.9999681711,0.5060749054,0.3761394918,-0.6658759117,0.9999474287,0.5146793859,0.3747781376,-0.6662058069,0.9999343157,0.5226484537,0.3735325634,-0.6664000154,0.9999550581,0.4836286604,0.3756546080,-0.6719727516,0.9999552965,0.4760283371,0.3736319842,-0.6722545891,0.9999543428,0.4685426652,0.3710819483,-0.6726872921,0.9999632835,0.5328967609,0.3743909377,-0.5286853994,0.9999781847,0.4538547573,0.3726646308,-0.5555605124,0.9999349117,0.5117232532,0.4341706558,-0.6202828796,0.9999502897,0.4817939743,0.4360682385,-0.6301164302,0.9999456406,0.5857851020,0.4984573405,-0.4500084800,0.9999952316,0.3846181881,0.4982067307,-0.4546954935,0.9999707937,0.6303809690,0.6840801478,-0.4643633256,0.9998321533,0.3454159695,0.6915986425,-0.4964071966,0.9989212751,0.6142943372,0.8501125117,-0.6177629175,0.9999314547,0.3765242377,0.8581106418,-0.6578130853,0.9993155003,0.6194161177,0.9011232853,-0.6953587532,0.9997840524,0.3662109673,0.8996948600,-0.7371247411,0.9983641505,0.5782625675,0.8873141408,-0.7242956758,0.9998302460,0.4099044204,0.8923472166,-0.7639440298,0.9988036156,0.5737558603,0.8765267730,-0.6342859268,0.9997095466,0.4174776673,0.8844011426,-0.6746688485,0.9976629019,0.5515020490,0.7568097711,0.0016162194,0.9992821813,0.4417930245,0.7545949817,-0.0019830680,0.9992035031,0.5423802733,0.8387532830,0.3756375313,0.0039546145,0.4249883592,0.8487578630,0.3390481770,0.0068972637,0.5155401230,0.7428897023,0.8489981890,0.0000805434,0.4370582998,0.7546137571,0.7493658066,0.0001722697,0.5164811015,0.7251167893,0.8998322487,0.0003438444,0.4360489845,0.7394747138,0.7953149080,0.0005418559,0.4977843165,0.7577075958,0.8963920474,0.0003413543,0.4582961202,0.7627865076,0.7800588012,0.0005226154
1,1.0000000000,0.4958360395,0.4101602915,-0.6840169151,0.9999610186,0.5058971047,0.3791926801,-0.6922739744,0.9999372959,0.5145015503,0.3752853090,-0.6709066294,0.9999244213,0.5221555829,0.3751783669,-0.6928250194,0.9999468923,0.4833901823,0.3812115788,-0.6975491643,0.9999464750,0.4758317181,0.3756415528,-0.6770529359,0.9999471903,0.4684011936,0.3767430186,-0.6983037591,0.9999564886,0.5323243718,0.3740902570,-0.5330627236,0.9999754429,0.4538640473,0.3723223623,-0.5601088247,0.9999271631,0.5111383435,0.4340294486,-0.6238794836,0.9999463558,0.4814260660,0.4362828901,-0.6336565151,0.9999410510,0.5855360436,0.4979575026,-0.4528187098,0.9999948740,0.3846925405,0.4980859409,-0.4544169804,0.9999696016,0.6297198720,0.6816727805,-0.4626812403,0.9998339415,0.3481000162,0.6890745226,-0.4916082361,0.9989327192,0.6135893733,0.8494316516,-0.6302840416,0.9999353290,0.3787457806,0.8588523568,-0.6648198051,0.9993610382,0.6193269491,0.9021176696,-0.7410880923,0.9997975826,0.3672707081,0.9077642560,-0.7814705372,0.9984781742,0.5783046484,0.8877919912,-0.7763237953,0.9998407960,0.4101157188,0.8950259686,-0.8105243444,0.9988856912,0.5736144185,0.8765265942,-0.6729233265,0.9997255206,0.4194512963,0.8847244382,-0.7084923983,0.9978109002,0.5515302420,0.7709139585,0.0013380351,0.9992777109,0.4325413704,0.7756369114,-0.0017236322,0.9992054105,0.5430685282,0.8264484406,0.4560820162,0.0059834397,0.4250138700,0.8035395145,0.4348310530,0.0092774322,0.5202605128,0.7386334538,1.0005592108,0.0002444496,0.4370943904,0.7882941365,0.9251936078,0.0004557840,0.5265207291,0.7522693872,1.0561541319,0.0007082613,0.4373552799,0.7855008841,0.9767596126,0.0010723508,0.5085809231,0.7911173701,1.0148669481,0.0009097332,0.4518241286,0.8223422766,0.9266729355,0.0012456053
2,1.0000000000,0.4957082023,0.4096608794,-0.6824934739,0.9999573231,0.5058401823,0.3790317476,-0.6862215996,0.9999318719,0.5143737451,0.3749739130,-0.6698690380,0.9999194741,0.5219737291,0.3750182986,-0.6867625713,0.9999426007,0.4833818078,0.3811383843,-0.6918240190,0.9999419451,0.4756711600,0.3761135975,-0.6765098685,0.9999437332,0.4683994353,0.3764919639,-0.6925651431,0.9999529719,0.5317313031,0.3734700689,-0.5325673571,0.9999740124,0.4538604447,0.3715883036,-0.5608176468,0.9999231696,0.5106638840,0.4330615506,-0.6222821325,0.9999449849,0.4811422387,0.4355052553,-0.6323066571,0.9999392033,0.5853063141,0.4974307651,-0.4527419491,0.9999946952,0.3847225046,0.4979793524,-0.4518895885,0.9999690056,0.6290820337,0.6795030133,-0.4589205682,0.9998345971,0.3503980420,0.6867919075,-0.4845902434,0.9989271760,0.6129919323,0.8487533841,-0.6389036160,0.9999386668,0.3806422942,0.8596731690,-0.6656908078,0.9993972182,0.6193281412,0.9021422863,-0.7285122871,0.9998096228,0.3689742684,0.9090087414,-0.7679225206,0.9985718131,0.5786444545,0.8876529932,-0.7623180151,0.9998502135,0.4104886949,0.8965218663,-0.7962187529,0.9989530444,0.5737944841,0.8755808473,-0.6625745296,0.9997397065,0.4209401608,0.8854968548,-0.7004254460,0.9979307055,0.5528554320,0.7760373354,0.0014049798,0.9992725253,0.4313414097,0.7866911292,-0.0017971729,0.9992092252,0.5456640720,0.8234489560,0.4740344584,0.0070910007,0.4265718460,0.8067737222,0.4288882315,0.0110554984,0.5263002515,0.7356491089,1.0162276030,0.0003591959,0.4410423338,0.8097745180,0.9144218564,0.0006849953,0.5325347185,0.7607172132,1.0714741945,0.0010159641,0.4433040023,0.8075367808,0.9654461741,0.0015364446,0.5151964426,0.7987957001,1.0328135490,0.0013422379,0.4526977539,0.8474327326,0.9153869748,0.0018425706
3,1.0000000000,0.4956706435,0.4078860646,-0.6760501211,0.9999573827,0.5057487488,0.3754061759,-0.6455751657,0.9999321699,0.5143209437,0.3736501107,-0.6636504914,0.9999207854,0.5219720602,0.3720963299,-0.6461516619,0.9999432564,0.4832057357,0.3764275014,-0.6527644992,0.9999420643,0.4755629211,0.3747279204,-0.6711956305,0.9999443889,0.4683360159,0.3722311556,-0.6535079479,0.9999530911,0.5311314823,0.3724568617,-0.5273718770,0.9999745488,0.4538521082,0.3703926865,-0.5579392483,0.9999238253,0.5103447826,0.4311079153,-0.6159131436,0.9999466538,0.4809864324,0.4334983281,-0.6265707824,0.9999408126,0.5851096901,0.4969121239,-0.4498376057,0.9999948740,0.3846766726,0.4979049662,-0.4474572080,0.9999697804,0.6285210921,0.6777819637,-0.4540600733,0.9998440146,0.3520510424,0.6850842841,-0.4768153562,0.9989578724,0.6125094461,0.8481739496,-0.6444210919,0.9999436736,0.3820643410,0.8606614719,-0.6612575496,0.9994409680,0.6188428998,0.9022576213,-0.7191735506,0.9998254180,0.3709908128,0.9096482992,-0.7309089899,0.9986811876,0.5790017843,0.8874004483,-0.7603729367,0.9998626113,0.4115797579,0.8980218768,-0.7634392977,0.9990328550,0.5738873482,0.8747413158,-0.6479780078,0.9997605085,0.4230251312,0.8866258860,-0.6618976593,0.9980824590,0.5536755323,0.7861617208,0.0004342247,0.9992902875,0.4306452870,0.7969362736,-0.0008505654,0.9992281795,0.5505627394,0.8216371536,0.4562906623,0.0085942261,0.4327509999,0.8021029234,0.4286231995,0.0128019163,0.5342432857,0.7359685302,0.9932619929,0.0004160498,0.4464991093,0.7988578677,0.9002133608,0.0008025488,0.5379794240,0.7409135699,1.0494138002,0.0011967737,0.4493263364,0.8006381989,0.9510773420,0.0018483724,0.5207400918,0.7737517953,1.0352332592,0.0015884069,0.4543743134,0.8385074735,0.9253666997,0.0022300654
4,1.0000000000,0.4957186822,0.4056284004,-0.6694572151,0.9999529123,0.5056973100,0.3722647727,-0.6459321976,0.9999253154,0.5143357835,0.3717913928,-0.6570432151,0.9999145269,0.5219725370,0.3692054152,-0.6465913653,0.9999381304,0.4831129909,0.3723892272,-0.6569440365,0.9999364018,0.4755073181,0.3723769091,-0.6655162784,0.9999400377,0.4683263898,0.3684428334,-0.6577182412,0.9999487400,0.5305693672,0.3712847379,-0.5210027386,0.9999727011,0.4538638659,0.3690433785,-0.5542732029,0.9999178648,0.5101523168,0.4287344116,-0.6089389892,0.9999440908,0.4809448090,0.4308799272,-0.6205136271,0.9999374747,0.5849405681,0.4964476996,-0.4459990622,0.9999947548,0.3845546613,0.4978746780,-0.4431884320,0.9999691248,0.6281025449,0.6766165434,-0.4505918793,0.9998331070,0.3530225310,0.6841760077,-0.4718921853,0.9988673925,0.6120918940,0.8478195686,-0.6495759784,0.9999424815,0.3831928211,0.8618309995,-0.6571916228,0.9994373322,0.6181125045,0.9033198953,-0.7344735265,0.9998268485,0.3717554510,0.9104279280,-0.7439211607,0.9987016320,0.5790005922,0.8876172304,-0.7700885534,0.9998633265,0.4117144644,0.9003646374,-0.7759633064,0.9990423322,0.5738678575,0.8747196198,-0.6635461450,0.9997584224,0.4235395789,0.8881117105,-0.6701649427,0.9980816841,0.5544548035,0.7922411561,0.0004343147,0.9993206859,0.4301483035,0.8067548871,-0.0008528355,0.9992635250,0.5511579514,0.8272180557,0.4946521819,0.0094134109,0.4334388375,0.8086274862,0.4647225738,0.0136482948,0.5349817276,0.7714987397,1.0621764660,0.0005023472,0.4474061131,0.8177044988,0.9526051283,0.0010228130,0.5377191305,0.7620576024,1.1204497814,0.0014704218,0.4507278800,0.8184410930,1.0037877560,0.0023023060,0.5212358832,0.8017405868,1.0919750929,0.0019462947,0.4545418322,0.8534027934,0.9584871531,0.0028487833
5,1.0000000000,0.4958255794,0.4038030686,-0.6648463875,0.9999519587,0.5056775808,0.3708516359,-0.6442884803,0.9999242425,0.5143799654,0.3700694543,-0.6522657912,0.9999147058,0.5219060183,0.3680475950,-0.6449021697,0.9999375939,0.4830624163,0.3710160553,-0.6527987719,0.9999352098,0.4754955772,0.3701982708,-0.6613154291,0.9999396205,0.4683194757,0.3674787283,-0.6535603404,0.9999476075,0.5300867823,0.3702896002,-0.5150914625,0.9999730587,0.4539144850,0.3679357795,-0.5507936477,0.9999170303,0.5100145786,0.4266715881,-0.6032862069,0.9999448657,0.4809662848,0.4285264029,-0.6159017723,0.9999376535,0.5847763983,0.4960307036,-0.4416197665,0.9999948740,0.3843890025,0.4978849107,-0.4399317256,0.9999692440,0.6278588166,0.6759790826,-0.4485234200,0.9998326302,0.3534610134,0.6840004647,-0.4710581424,0.9987716675,0.6117033228,0.8477580980,-0.6536194133,0.9999430180,0.3846067276,0.8630169763,-0.6569391407,0.9994249940,0.6167529821,0.9040390253,-0.7344530225,0.9998319745,0.3734124601,0.9131471515,-0.7370176315,0.9987017512,0.5787279606,0.8882108927,-0.7678985596,0.9998670220,0.4124218524,0.9043877125,-0.7685176134,0.9990363717,0.5737449527,0.8748604059,-0.6652670503,0.9997631311,0.4245319366,0.8924000859,-0.6664499044,0.9980655909,0.5551601648,0.8003146648,-0.0002799966,0.9993608594,0.4301275611,0.8178647757,-0.0001543120,0.9993048906,0.5551742315,0.8635657430,0.4716293216,0.0139462659,0.4365156591,0.8438306451,0.4425682425,0.0199396536,0.5384792686,0.8204129338,1.0305079222,0.0007253645,0.4556029737,0.8535770178,0.9248085022,0.0017298056,0.5410876870,0.8086774945,1.0881568193,0.0020281679,0.4600202441,0.8523210287,0.9761186838,0.0036636489,0.5216493607,0.8549781442,1.0655664206,0.0026796614,0.4636504054,0.8914987445,0.9392827749,0.0044200462
6,1.0000000000,0.4959349044,0.4028021885,-0.6589216675,0.9999403358,0.5056754351,0.3699329197,-0.6527084112,0.9999074936,0.5143705271,0.3689042237,-0.6460924197,0.9998985529,0.5218777061,0.3672555387,-0.6533825994,0.9999252558,0.4830012321,0.3701947629,-0.6621569395,0.9999200702,0.4754975396,0.3688043094,-0.6553091911,0.9999268055,0.4682835639,0.3670350611,-0.6629859209,0.9999357462,0.5296819107,0.3696559795,-0.5072365505,0.9999684095,0.4539965644,0.3672457255,-0.5448692013,0.9998984337,0.5098334322,0.4252877823,-0.5962609759,0.9999374747,0.4809954307,0.4269602141,-0.6098093788,0.9999278188,0.5845956343,0.4956033241,-0.4343252757,0.9999946952,0.3842280490,0.4979110140,-0.4357885979,0.9999680519,0.6277618052,0.6757380733,-0.4442323946,0.9998046160,0.3536111643,0.6842848868,-0.4714850662,0.9985139370,0.6113309678,0.8479649947,-0.6513716667,0.9999388456,0.3871449191,0.8639370773,-0.6584097191,0.9993647337,0.6166186333,0.9055150747,-0.7592276335,0.9998274446,0.3739573359,0.9145579934,-0.7556131482,0.9986166358,0.5787276030,0.8902064562,-0.7943636775,0.9998629093,0.4124736190,0.9062016606,-0.7882519364,0.9989628792,0.5736637115,0.8758868575,-0.6857966781,0.9997509718,0.4243474007,0.8931542635,-0.6805608869,0.9978863597,0.5550023317,0.8085367680,-0.0000004629,0.9993925691,0.4291203916,0.8243988752,-0.0004337328,0.9993370771,0.5543085337,0.8734145761,0.5113998055,0.0142089697,0.4387780130,0.8499652743,0.4739982188,0.0202554241,0.5367246270,0.8243399858,1.1119573116,0.0007876597,0.4551646709,0.8504201770,1.0155292749,0.0018783372,0.5399878621,0.8118165731,1.1731740236,0.0022119312,0.4585127234,0.8471570611,1.0725543499,0.0039366740,0.5209668875,0.8532791734,1.1408002377,0.0029201233,0.4650294185,0.8865135908,1.0285763741,0.0048123528
7,1.0000000000,0.4959388506,0.4025085142,-0.6463873149,0.9999310374,0.5056681633,0.3694619238,-0.6544644833,0.9998932481,0.5141614197,0.3683725443,-0.6332190192,0.9998861551,0.5218124390,0.3667982817,-0.6550971270,0.9999153614,0.4830727577,0.3696122169,-0.6631016731,0.9999071360,0.4754416577,0.3682317189,-0.6422942413,0.9999167323,0.4683916569,0.3666007221,-0.6639029980,0.9999255538,0.5292919184,0.3693697352,-0.4933825101,0.9999648929,0.4540709156,0.3669195072,-0.5322190266,0.9998837709,0.5094841543,0.4245312094,-0.5833644185,0.9999308586,0.4809825613,0.4262368739,-0.5974631797,0.9999186397,0.5843925996,0.4950954683,-0.4210111460,0.9999945164,0.3841176616,0.4979015019,-0.4271067776,0.9999664426,0.6277330551,0.6757030129,-0.4334073944,0.9997781515,0.3537745996,0.6847267133,-0.4683454302,0.9982363582,0.6109798023,0.8483310952,-0.6374937454,0.9999324083,0.3914368142,0.8644173877,-0.6561314959,0.9993246198,0.6165338159,0.9059938192,-0.7514741421,0.9998185635,0.3786396086,0.9141700864,-0.7678884268,0.9985795617,0.5786658525,0.8917096257,-0.7860161662,0.9998555779,0.4180105329,0.9054134488,-0.7975665331,0.9989286065,0.5732424259,0.8769575357,-0.6807271242,0.9997341037,0.4295977652,0.8909900784,-0.6927266121,0.9977913499,0.5543879867,0.8163587451,0.0000054476,0.9994179606,0.4287311137,0.8299104571,-0.0004424912,0.9993578792,0.5512892008,0.8979967833,0.4834767282,0.0156266540,0.4405338168,0.8577630520,0.4685428739,0.0207121484,0.5296002030,0.8632100821,1.0616935492,0.0009625795,0.4563493133,0.8715864420,0.9994412661,0.0021601433,0.5315574408,0.8511771560,1.1208114624,0.0027040825,0.4601747394,0.8710470796,1.0550515652,0.0045184405,0.5183268785,0.8849916458,1.0882729292,0.0035636213,0.4645907283,0.9125245214,1.0137448311,0.0055522709
8,1.0000000000,0.4956857218,0.4025707544,-0.6249883283,0.9999282956,0.5056302547,0.3695865870,-0.5968999267,0.9998888969,0.5135720338,0.3683138714,-0.6113693588,0.9998836517,0.5216475725,0.3669057786,-0.5975340605,0.9999126196,0.4830725789,0.3697304130,-0.6064244509,0.9999021292,0.4752220141,0.3682216177,-0.6200168770,0.9999132752,0.4683850408,0.3666585982,-0.6072427034,0.9999208450,0.5288171671,0.3693078636,-0.4717458032,0.9999642968,0.4540821423,0.3668293404,-0.5104588978,0.9998782277,0.5088386716,0.4240952961,-0.5625287892,0.9999279380,0.4808750588,0.4261072627,-0.5766006253,0.9999137521,0.5841869466,0.4944822722,-0.4009213408,0.9999943376,0.3840927019,0.4977810320,-0.4109771965,0.9999642968,0.6276748171,0.6757043825,-0.4146949863,0.9997568130,0.3542362650,0.6851083097,-0.4575888386,0.9980195761,0.6106473786,0.8487419627,-0.6115612416,0.9999265671,0.3972080944,0.8645266958,-0.6455089080,0.9992637634,0.6164631844,0.9059694409,-0.6699997187,0.9998111129,0.3886639476,0.9141093493,-0.7218972445,0.9985070825,0.5787974596,0.8916501403,-0.7024830580,0.9998491406,0.4289551377,0.9039376974,-0.7435733080,0.9988635182,0.5732133985,0.8768786788,-0.6101391315,0.9997223020,0.4400959015,0.8893755078,-0.6525830030,0.9976628423,0.5543661118,0.8235962987,0.0000304181,0.9994342327,0.4290513098,0.8355590701,-0.0004726982,0.9993678927,0.5415437222,0.9125758410,0.4421044886,0.0222964473,0.4400144219,0.8777289987,0.4356864095,0.0266127717,0.5199700594,0.8632083535,0.9914139509,0.0014753707,0.4550816119,0.8757583499,0.9323094487,0.0029914002,0.5230216980,0.8495915532,1.0483422279,0.0039619678,0.4562905729,0.8587371111,0.9855505228,0.0063440343,0.5071956515,0.8887812495,1.0600311756,0.0049002245,0.4581115246,0.9116095901,0.9707331657,0.0071994956
9,1.0000000000,0.4950531881,0.4025579240,-0.5964374575,0.9999271631,0.5046921372,0.3696427643,-0.5867623091,0.9998869896,0.5125060349,0.3684282845,-0.5822841759,0.9998832941,0.5205239058,0.3669921756,-0.5873857737,0.9999112487,0.4827363491,0.3698319793,-0.5948631763,0.9998992682,0.4747591631,0.3684115054,-0.5901973605,0.9999117851,0.4680656493,0.3669803441,-0.5956982374,0.9999180436,0.5281703272,0.3693043548,-0.4438436929,0.9999639392,0.4539905753,0.3668605271,-0.4805198099,0.9998747110,0.5078367696,0.4235472551,-0.5351390928,0.9999248385,0.4806201926,0.4261362191,-0.5485624361,0.9999089837,0.5840192805,0.4938208722,-0.3760448439,0.9999939799,0.3841798472,0.4974792431,-0.3869661616,0.9999617934,0.6275022186,0.6756758931,-0.3901180392,0.9997338653,0.3551235067,0.6853513116,-0.4374970867,0.9978239536,0.6102951838,0.8491519917,-0.5780443037,0.9999209046,0.4030732908,0.8644859981,-0.6249817512,0.9992206097,0.6163603663,0.9060209990,-0.6659501195,0.9998043180,0.4007176757,0.9132267833,-0.7187293768,0.9984633327,0.5788069963,0.8916011453,-0.6983789206,0.9998432398,0.4414847791,0.9012019634,-0.7392209768,0.9988211989,0.5731059313,0.8768860698,-0.6048325300,0.9997117519,0.4498618245,0.8878712058,-0.6478163004,0.9975775480,0.5537220836,0.8273943663,-0.0006301532,0.9994313121,0.4293099940,0.8383532166,0.0001723347,0.9993586540,0.5366155505,0.9113091826,0.4328253269,0.0271986704,0.4394451976,0.8798409104,0.4327811301,0.0311586577,0.5143099427,0.8540381193,0.9867675900,0.0018061125,0.4543719292,0.8703562617,0.9224964380,0.0035324632,0.5182738304,0.8400495648,1.0448582172,0.0049142926,0.4558039308,0.8659040332,0.9742372632,0.0078159003,0.4929635525,0.8847144842,1.0476460457,0.0057096221,0.4540764391,0.9018861651,0.9522768259,0.0082257055
