frame,pose_detection_confidence,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,1.0000000000,0.4960289550,0.4095416877,-0.6800856590,0.9999681711,0.5060749054,0.3761394918,-0.6658759117,0.9999474287,0.5146855258,0.3747770494,-0.6663091795,0.9999343157,0.5226484537,0.3735325634,-0.6664000154,0.9999550581,0.4836286604,0.3756546080,-0.6719727516,0.9999552965,0.4760312285,0.3736309673,-0.6723610907,0.9999543428,0.4685426652,0.3710819483,-0.6726872921,0.9999632835,0.5328993098,0.3743906448,-0.5287766009,0.9999781847,0.4538555340,0.3726643594,-0.5556652578,0.9999349117,0.5117278260,0.4341735489,-0.6203804252,0.9999502897,0.4817954447,0.4360677418,-0.6302177040,0.9999456406,0.5857851552,0.4984583347,-0.4500847289,0.9999952316,0.3846175405,0.4982089772,-0.4547836727,0.9999707937,0.6303820706,0.6840803043,-0.4644535372,0.9998321533,0.3454115493,0.6915987848,-0.4965008933,0.9989212751,0.6142961804,0.8501115135,-0.6178912790,0.9999314547,0.3765201263,0.8581106077,-0.6579119400,0.9993155003,0.6194161177,0.9011232853,-0.6953587532,0.9997840524,0.3662109673,0.8996948600,-0.7371247411,0.9983641505,0.5782625675,0.8873141408,-0.7242956758,0.9998302460,0.4099044204,0.8923472166,-0.7639440298,0.9988036156,0.5737558603,0.8765267730,-0.6342859268,0.9997095466,0.4174776673,0.8844011426,-0.6746688485,0.9976629019,0.5515020490,0.7568097711,0.0016162194,0.9992821813,0.4417930245,0.7545949817,-0.0019830680,0.9992035031,0.5423802733,0.8387532830,0.3756375313,0.0039546145,0.4249883592,0.8487578630,0.3390481770,0.0068972637,0.5155401230,0.7428897023,0.8489981890,0.0000805434,0.4370582998,0.7546137571,0.7493658066,0.0001722697,0.5164811015,0.7251167893,0.8998322487,0.0003438444,0.4360489845,0.7394747138,0.7953149080,0.0005418559,0.4977843165,0.7577075958,0.8963920474,0.0003413543,0.4582961202,0.7627865076,0.7800588012,0.0005226154
1,1.0000000000,0.4957487476,0.4126591894,-0.7022122602,0.9999610186,0.5058971047,0.3791926801,-0.6922739744,0.9999372959,0.5144374426,0.3768456389,-0.6893298283,0.9999244213,0.5221555829,0.3751783669,-0.6928250194,0.9999468923,0.4833901823,0.3812115788,-0.6975491643,0.9999464750,0.4757728763,0.3787874220,-0.6944646499,0.9999471903,0.4684011936,0.3767430186,-0.6983037591,0.9999564886,0.5324101570,0.3746634284,-0.5477837302,0.9999754429,0.4539209587,0.3731058402,-0.5721523247,0.9999271631,0.5109717960,0.4356953596,-0.6403384121,0.9999463558,0.4813379037,0.4381291188,-0.6494941250,0.9999410510,0.5855350428,0.4981641303,-0.4615560618,0.9999948740,0.3847088845,0.4981020977,-0.4619052053,0.9999696016,0.6298148812,0.6816793547,-0.4722720295,0.9998339415,0.3483429000,0.6895226743,-0.5027594463,0.9989327192,0.6132919151,0.8497287872,-0.6452538303,0.9999353290,0.3790264401,0.8589857473,-0.6849098917,0.9993610382,0.6193269491,0.9021176696,-0.7410880923,0.9997975826,0.3672707081,0.9077642560,-0.7814705372,0.9984781742,0.5783046484,0.8877919912,-0.7763237953,0.9998407960,0.4101157188,0.8950259686,-0.8105243444,0.9988856912,0.5736144185,0.8765265942,-0.6729233265,0.9997255206,0.4194512963,0.8847244382,-0.7084923983,0.9978109002,0.5515302420,0.7709139585,0.0013380351,0.9992777109,0.4325413704,0.7756369114,-0.0017236322,0.9992054105,0.5430685282,0.8264484406,0.4560820162,0.0059834397,0.4250138700,0.8035395145,0.4348310530,0.0092774322,0.5202605128,0.7386334538,1.0005592108,0.0002444496,0.4370943904,0.7882941365,0.9251936078,0.0004557840,0.5265207291,0.7522693872,1.0561541319,0.0007082613,0.4373552799,0.7855008841,0.9767596126,0.0010723508,0.5085809231,0.7911173701,1.0148669481,0.0009097332,0.4518241286,0.8223422766,0.9266729355,0.0012456053
2,1.0000000000,0.4956404774,0.4119415203,-0.6939684195,0.9999573231,0.5058401823,0.3790317476,-0.6862215996,0.9999318719,0.5143133223,0.3765279122,-0.6815598969,0.9999194741,0.5219737291,0.3750182986,-0.6867625713,0.9999426007,0.4833818078,0.3811383843,-0.6918240190,0.9999419451,0.4756407545,0.3789516271,-0.6871630896,0.9999437332,0.4683994353,0.3764919639,-0.6925651431,0.9999529719,0.5318098964,0.3742052485,-0.5416368469,0.9999740124,0.4539047332,0.3725102757,-0.5678897620,0.9999231696,0.5105112043,0.4347877594,-0.6324970147,0.9999449849,0.4810164053,0.4375086299,-0.6421639540,0.9999392033,0.5852634374,0.4974709547,-0.4580545631,0.9999946952,0.3847835458,0.4979704108,-0.4567743304,0.9999690056,0.6291300120,0.6793084648,-0.4639842371,0.9998345971,0.3508597820,0.6866287069,-0.4910218726,0.9989271760,0.6128670269,0.8488407925,-0.6451935034,0.9999386668,0.3811941603,0.8595896986,-0.6784444101,0.9993972182,0.6193281412,0.9021422863,-0.7285122871,0.9998096228,0.3689742684,0.9090087414,-0.7679225206,0.9985718131,0.5786444545,0.8876529932,-0.7623180151,0.9998502135,0.4104886949,0.8965218663,-0.7962187529,0.9989530444,0.5737944841,0.8755808473,-0.6625745296,0.9997397065,0.4209401608,0.8854968548,-0.7004254460,0.9979307055,0.5528554320,0.7760373354,0.0014049798,0.9992725253,0.4313414097,0.7866911292,-0.0017971729,0.9992092252,0.5456640720,0.8234489560,0.4740344584,0.0070910007,0.4265718460,0.8067737222,0.4288882315,0.0110554984,0.5263002515,0.7356491089,1.0162276030,0.0003591959,0.4410423338,0.8097745180,0.9144218564,0.0006849953,0.5325347185,0.7607172132,1.0714741945,0.0010159641,0.4433040023,0.8075367808,0.9654461741,0.0015364446,0.5151964426,0.7987957001,1.0328135490,0.0013422379,0.4526977539,0.8474327326,0.9153869748,0.0018425706
3,1.0000000000,0.4956607539,0.4078403921,-0.6676693193,0.9999573827,0.5057487488,0.3754061759,-0.6455751657,0.9999321699,0.5142939091,0.3738857767,-0.6554129260,0.9999207854,0.5219720602,0.3720963299,-0.6461516619,0.9999432564,0.4832057357,0.3764275014,-0.6527644992,0.9999420643,0.4755721292,0.3748413471,-0.6631087441,0.9999443889,0.4683360159,0.3722311556,-0.6535079479,0.9999530911,0.5311344247,0.3726495746,-0.5211220652,0.9999745488,0.4538404862,0.3705289246,-0.5523777890,0.9999238253,0.5102990801,0.4312902973,-0.6085931642,0.9999466538,0.4809181589,0.4338712374,-0.6193024680,0.9999408126,0.5850681749,0.4967635160,-0.4453249488,0.9999948740,0.3847467930,0.4978766446,-0.4441155548,0.9999697804,0.6284500389,0.6775168965,-0.4472031568,0.9998440146,0.3523759331,0.6843596431,-0.4701438586,0.9989578724,0.6125950629,0.8480256971,-0.6342065656,0.9999436736,0.3828312424,0.8602109157,-0.6537519051,0.9994409680,0.6188428998,0.9022576213,-0.7191735506,0.9998254180,0.3709908128,0.9096482992,-0.7309089899,0.9986811876,0.5790017843,0.8874004483,-0.7603729367,0.9998626113,0.4115797579,0.8980218768,-0.7634392977,0.9990328550,0.5738873482,0.8747413158,-0.6479780078,0.9997605085,0.4230251312,0.8866258860,-0.6618976593,0.9980824590,0.5536755323,0.7861617208,0.0004342247,0.9992902875,0.4306452870,0.7969362736,-0.0008505654,0.9992281795,0.5505627394,0.8216371536,0.4562906623,0.0085942261,0.4327509999,0.8021029234,0.4286231995,0.0128019163,0.5342432857,0.7359685302,0.9932619929,0.0004160498,0.4464991093,0.7988578677,0.9002133608,0.0008025488,0.5379794240,0.7409135699,1.0494138002,0.0011967737,0.4493263364,0.8006381989,0.9510773420,0.0018483724,0.5207400918,0.7737517953,1.0352332592,0.0015884069,0.4543743134,0.8385074735,0.9253666997,0.0022300654
4,1.0000000000,0.4956953773,0.4041218813,-0.6541950597,0.9999529123,0.5056973100,0.3722647727,-0.6459321976,0.9999253154,0.5142838537,0.3710253952,-0.6417178660,0.9999145269,0.5219725370,0.3692054152,-0.6465913653,0.9999381304,0.4831129909,0.3723892272,-0.6569440365,0.9999364018,0.4754894424,0.3707929789,-0.6511576564,0.9999400377,0.4683263898,0.3684428334,-0.6577182412,0.9999487400,0.5304785718,0.3708420753,-0.5096585749,0.9999727011,0.4538092597,0.3684001576,-0.5444794552,0.9999178648,0.5101379496,0.4276895165,-0.5960019790,0.9999440908,0.4809634236,0.4298119975,-0.6074469222,0.9999374747,0.5849430337,0.4963239953,-0.4379872590,0.9999947548,0.3845816397,0.4978448128,-0.4361619306,0.9999691248,0.6279711661,0.6764386647,-0.4404968374,0.9998331070,0.3531155438,0.6837512527,-0.4616126076,0.9988673925,0.6121552737,0.8476214351,-0.6367964548,0.9999424815,0.3839607792,0.8614773626,-0.6425658864,0.9994373322,0.6181125045,0.9033198953,-0.7344735265,0.9998268485,0.3717554510,0.9104279280,-0.7439211607,0.9987016320,0.5790005922,0.8876172304,-0.7700885534,0.9998633265,0.4117144644,0.9003646374,-0.7759633064,0.9990423322,0.5738678575,0.8747196198,-0.6635461450,0.9997584224,0.4235395789,0.8881117105,-0.6701649427,0.9980816841,0.5544548035,0.7922411561,0.0004343147,0.9993206859,0.4301483035,0.8067548871,-0.0008528355,0.9992635250,0.5511579514,0.8272180557,0.4946521819,0.0094134109,0.4334388375,0.8086274862,0.4647225738,0.0136482948,0.5349817276,0.7714987397,1.0621764660,0.0005023472,0.4474061131,0.8177044988,0.9526051283,0.0010228130,0.5377191305,0.7620576024,1.1204497814,0.0014704218,0.4507278800,0.8184410930,1.0037877560,0.0023023060,0.5212358832,0.8017405868,1.0919750929,0.0019462947,0.4545418322,0.8534027934,0.9584871531,0.0028487833
5,1.0000000000,0.4957175398,0.4027722765,-0.6605954079,0.9999519587,0.5056775808,0.3708516359,-0.6442884803,0.9999242425,0.5142364325,0.3693484417,-0.6477748070,0.9999147058,0.5219060183,0.3680475950,-0.6449021697,0.9999375939,0.4830624163,0.3710160553,-0.6527987719,0.9999352098,0.4754031234,0.3690042356,-0.6571581108,0.9999396205,0.4683194757,0.3674787283,-0.6535603404,0.9999476075,0.5299540469,0.3698410267,-0.5114042436,0.9999730587,0.4538451680,0.3674137033,-0.5470631839,0.9999170303,0.5099474955,0.4258112793,-0.5994912959,0.9999448657,0.4809956180,0.4275363518,-0.6119503354,0.9999376535,0.5848064142,0.4959933224,-0.4397533085,0.9999948740,0.3843715073,0.4978393229,-0.4360129542,0.9999692440,0.6277643666,0.6758577527,-0.4470671129,0.9998326302,0.3535772278,0.6840338557,-0.4676477216,0.9987716675,0.6117484099,0.8475689970,-0.6531217785,0.9999430180,0.3845880588,0.8632781419,-0.6501401954,0.9994249940,0.6167529821,0.9040390253,-0.7344530225,0.9998319745,0.3734124601,0.9131471515,-0.7370176315,0.9987017512,0.5787279606,0.8882108927,-0.7678985596,0.9998670220,0.4124218524,0.9043877125,-0.7685176134,0.9990363717,0.5737449527,0.8748604059,-0.6652670503,0.9997631311,0.4245319366,0.8924000859,-0.6664499044,0.9980655909,0.5551601648,0.8003146648,-0.0002799966,0.9993608594,0.4301275611,0.8178647757,-0.0001543120,0.9993048906,0.5551742315,0.8635657430,0.4716293216,0.0139462659,0.4365156591,0.8438306451,0.4425682425,0.0199396536,0.5384792686,0.8204129338,1.0305079222,0.0007253645,0.4556029737,0.8535770178,0.9248085022,0.0017298056,0.5410876870,0.8086774945,1.0881568193,0.0020281679,0.4600202441,0.8523210287,0.9761186838,0.0036636489,0.5216493607,0.8549781442,1.0655664206,0.0026796614,0.4636504054,0.8914987445,0.9392827749,0.0044200462
6,1.0000000000,0.4957958435,0.4026265208,-0.6682760749,0.9999403358,0.5056754351,0.3699329197,-0.6527084112,0.9999074936,0.5142154930,0.3685814612,-0.6554391096,0.9998985529,0.5218777061,0.3672555387,-0.6533825994,0.9999252558,0.4830012321,0.3701947629,-0.6621569395,0.9999200702,0.4753841571,0.3685041347,-0.6642326820,0.9999268055,0.4682835639,0.3670350611,-0.6629859209,0.9999357462,0.5296026112,0.3695240312,-0.5141212181,0.9999684095,0.4539554145,0.3672177441,-0.5503101677,0.9998984337,0.5097732657,0.4249733393,-0.6037455148,0.9999374747,0.4809767865,0.4265809859,-0.6174384236,0.9999278188,0.5846482377,0.4956959458,-0.4409548500,0.9999946952,0.3841982767,0.4978450506,-0.4379764125,0.9999680519,0.6277335763,0.6757661839,-0.4523177513,0.9998046160,0.3536650794,0.6844845119,-0.4742529281,0.9985139370,0.6113143578,0.8479632171,-0.6643377808,0.9999388456,0.3852537484,0.8645405868,-0.6624216997,0.9993647337,0.6166186333,0.9055150747,-0.7592276335,0.9998274446,0.3739573359,0.9145579934,-0.7556131482,0.9986166358,0.5787276030,0.8902064562,-0.7943636775,0.9998629093,0.4124736190,0.9062016606,-0.7882519364,0.9989628792,0.5736637115,0.8758868575,-0.6857966781,0.9997509718,0.4243474007,0.8931542635,-0.6805608869,0.9978863597,0.5550023317,0.8085367680,-0.0000004629,0.9993925691,0.4291203916,0.8243988752,-0.0004337328,0.9993370771,0.5543085337,0.8734145761,0.5113998055,0.0142089697,0.4387780130,0.8499652743,0.4739982188,0.0202554241,0.5367246270,0.8243399858,1.1119573116,0.0007876597,0.4551646709,0.8504201770,1.0155292749,0.0018783372,0.5399878621,0.8118165731,1.1731740236,0.0022119312,0.4585127234,0.8471570611,1.0725543499,0.0039366740,0.5209668875,0.8532791734,1.1408002377,0.0029201233,0.4650294185,0.8865135908,1.0285763741,0.0048123528
7,1.0000000000,0.4959627455,0.4025107422,-0.6552459137,0.9999310374,0.5056681633,0.3694619238,-0.6544644833,0.9998932481,0.5142771301,0.3682312907,-0.6422585943,0.9998861551,0.5218124390,0.3667982817,-0.6550971270,0.9999153614,0.4830727577,0.3696122169,-0.6631016731,0.9999071360,0.4754766033,0.3682303630,-0.6511078025,0.9999167323,0.4683916569,0.3666007221,-0.6639029980,0.9999255538,0.5293133214,0.3693718064,-0.5007020862,0.9999648929,0.4541021330,0.3670371341,-0.5390893410,0.9998837709,0.5095962834,0.4243504247,-0.5909619298,0.9999308586,0.4809607764,0.4260162224,-0.6053020996,0.9999186397,0.5844458689,0.4953103639,-0.4269457089,0.9999945164,0.3841175483,0.4978811732,-0.4317284596,0.9999664426,0.6277495866,0.6759374357,-0.4403560548,0.9997781515,0.3534826767,0.6849915593,-0.4717842163,0.9982363582,0.6108503248,0.8485134656,-0.6481572835,0.9999324083,0.3885779883,0.8647159862,-0.6626262771,0.9993246198,0.6165338159,0.9059938192,-0.7514741421,0.9998185635,0.3786396086,0.9141700864,-0.7678884268,0.9985795617,0.5786658525,0.8917096257,-0.7860161662,0.9998555779,0.4180105329,0.9054134488,-0.7975665331,0.9989286065,0.5732424259,0.8769575357,-0.6807271242,0.9997341037,0.4295977652,0.8909900784,-0.6927266121,0.9977913499,0.5543879867,0.8163587451,0.0000054476,0.9994179606,0.4287311137,0.8299104571,-0.0004424912,0.9993578792,0.5512892008,0.8979967833,0.4834767282,0.0156266540,0.4405338168,0.8577630520,0.4685428739,0.0207121484,0.5296002030,0.8632100821,1.0616935492,0.0009625795,0.4563493133,0.8715864420,0.9994412661,0.0021601433,0.5315574408,0.8511771560,1.1208114624,0.0027040825,0.4601747394,0.8710470796,1.0550515652,0.0045184405,0.5183268785,0.8849916458,1.0882729292,0.0035636213,0.4645907283,0.9125245214,1.0137448311,0.0055522709
8,1.0000000000,0.4959564417,0.4024809701,-0.6257996187,0.9999282956,0.5056302547,0.3695865870,-0.5968999267,0.9998888969,0.5140601833,0.3681785765,-0.6121461704,0.9998836517,0.5216475725,0.3669057786,-0.5975340605,0.9999126196,0.4830725789,0.3697304130,-0.6064244509,0.9999021292,0.4754536119,0.3681738413,-0.6211068518,0.9999132752,0.4683850408,0.3666585982,-0.6072427034,0.9999208450,0.5289252958,0.3692830607,-0.4727638833,0.9999642968,0.4541727071,0.3668668995,-0.5133813443,0.9998782277,0.5091266590,0.4240766096,-0.5637808275,0.9999279380,0.4809182046,0.4258949851,-0.5782356330,0.9999137521,0.5841788701,0.4945799883,-0.4009208343,0.9999943376,0.3840943783,0.4979043348,-0.4154130775,0.9999642968,0.6277514057,0.6759339443,-0.4159835511,0.9997568130,0.3537157352,0.6853590412,-0.4628630127,0.9980195761,0.6106424488,0.8488774439,-0.6116531039,0.9999265671,0.3966482281,0.8644268819,-0.6494230680,0.9992637634,0.6164631844,0.9059694409,-0.6699997187,0.9998111129,0.3886639476,0.9141093493,-0.7218972445,0.9985070825,0.5787974596,0.8916501403,-0.7024830580,0.9998491406,0.4289551377,0.9039376974,-0.7435733080,0.9988635182,0.5732133985,0.8768786788,-0.6101391315,0.9997223020,0.4400959015,0.8893755078,-0.6525830030,0.9976628423,0.5543661118,0.8235962987,0.0000304181,0.9994342327,0.4290513098,0.8355590701,-0.0004726982,0.9993678927,0.5415437222,0.9125758410,0.4421044886,0.0222964473,0.4400144219,0.8777289987,0.4356864095,0.0266127717,0.5199700594,0.8632083535,0.9914139509,0.0014753707,0.4550816119,0.8757583499,0.9323094487,0.0029914002,0.5230216980,0.8495915532,1.0483422279,0.0039619678,0.4562905729,0.8587371111,0.9855505228,0.0063440343,0.5071956515,0.8887812495,1.0600311756,0.0049002245,0.4581115246,0.9116095901,0.9707331657,0.0071994956
9,1.0000000000,0.4953482501,0.4026027748,-0.5984821728,0.9999271631,0.5046921372,0.3696427643,-0.5867623091,0.9998869896,0.5129404401,0.3682907711,-0.5842541962,0.9998832941,0.5205239058,0.3669921756,-0.5873857737,0.9999112487,0.4827363491,0.3698319793,-0.5948631763,0.9998992682,0.4749401535,0.3683514501,-0.5926375175,0.9999117851,0.4680656493,0.3669803441,-0.5956982374,0.9999180436,0.5283349201,0.3692268221,-0.4464536486,0.9999639392,0.4540669745,0.3668646828,-0.4857032284,0.9998747110,0.5080577446,0.4238797715,-0.5377724372,0.9999248385,0.4806996079,0.4261564394,-0.5517191858,0.9999089837,0.5839462508,0.4936380965,-0.3778836800,0.9999939799,0.3840988367,0.4976738858,-0.3947053620,0.9999617934,0.6276501033,0.6757217798,-0.3926350734,0.9997338653,0.3547872515,0.6854396830,-0.4485101609,0.9978239536,0.6105052792,0.8491659346,-0.5769778161,0.9999209046,0.4056504937,0.8642934986,-0.6316620649,0.9992206097,0.6163603663,0.9060209990,-0.6659501195,0.9998043180,0.4007176757,0.9132267833,-0.7187293768,0.9984633327,0.5788069963,0.8916011453,-0.6983789206,0.9998432398,0.4414847791,0.9012019634,-0.7392209768,0.9988211989,0.5731059313,0.8768860698,-0.6048325300,0.9997117519,0.4498618245,0.8878712058,-0.6478163004,0.9975775480,0.5537220836,0.8273943663,-0.0006301532,0.9994313121,0.4293099940,0.8383532166,0.0001723347,0.9993586540,0.5366155505,0.9113091826,0.4328253269,0.0271986704,0.4394451976,0.8798409104,0.4327811301,0.0311586577,0.5143099427,0.8540381193,0.9867675900,0.0018061125,0.4543719292,0.8703562617,0.9224964380,0.0035324632,0.5182738304,0.8400495648,1.0448582172,0.0049142926,0.4558039308,0.8659040332,0.9742372632,0.0078159003,0.4929635525,0.8847144842,1.0476460457,0.0057096221,0.4540764391,0.9018861651,0.9522768259,0.0082257055
