frame,left_hand_detection_confidence,right_hand_detection_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_cmc_z,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_mcp_z,left_thumb_ip_x,left_thumb_ip_y,left_thumb_ip_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_mcp_x,left_index_mcp_y,left_index_mcp_z,left_index_pip_x,left_index_pip_y,left_index_pip_z,left_index_dip_x,left_index_dip_y,left_index_dip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_mcp_x,left_middle_mcp_y,left_middle_mcp_z,left_middle_pip_x,left_middle_pip_y,left_middle_pip_z,left_middle_dip_x,left_middle_dip_y,left_middle_dip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_mcp_x,left_ring_mcp_y,left_ring_mcp_z,left_ring_pip_x,left_ring_pip_y,left_ring_pip_z,left_ring_dip_x,left_ring_dip_y,left_ring_dip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_mcp_z,left_pinky_pip_x,left_pinky_pip_y,left_pinky_pip_z,left_pinky_dip_x,left_pinky_dip_y,left_pinky_dip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_wrist_x,right_wrist_y,right_wrist_z,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_cmc_z,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_mcp_z,right_thumb_ip_x,right_thumb_ip_y,right_thumb_ip_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_mcp_x,right_index_mcp_y,right_index_mcp_z,right_index_pip_x,right_index_pip_y,right_index_pip_z,right_index_dip_x,right_index_dip_y,right_index_dip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_mcp_x,right_middle_mcp_y,right_middle_mcp_z,right_middle_pip_x,right_middle_pip_y,right_middle_pip_z,right_middle_dip_x,right_middle_dip_y,right_middle_dip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_mcp_x,right_ring_mcp_y,right_ring_mcp_z,right_ring_pip_x,right_ring_pip_y,right_ring_pip_z,right_ring_dip_x,right_ring_dip_y,right_ring_dip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_mcp_z,right_pinky_pip_x,right_pinky_pip_y,right_pinky_pip_z,right_pinky_dip_x,right_pinky_dip_y,right_pinky_dip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
0,1.0000000000,1.0000000000,0.6101781349,0.8530698570,0.0000000756,0.5842804909,0.8618318439,-0.0060801092,0.5582320690,0.8816744685,-0.0115042645,0.5364132521,0.9016783737,-0.0155963034,0.5183421974,0.9123215848,-0.0204517033,0.5753041137,0.8770570815,-0.0211847918,0.5622487664,0.9037033319,-0.0276598148,0.5570955276,0.9230507016,-0.0306255650,0.5531548926,0.9400839231,-0.0327208616,0.5943171382,0.8831636906,-0.0219716933,0.5819634199,0.9127991199,-0.0269055571,0.5756081939,0.9344484210,-0.0282713287,0.5707983679,0.9506552353,-0.0307667908,0.6119654775,0.8900662661,-0.0223677196,0.6027581692,0.9179205894,-0.0265302192,0.5959175825,0.9366250038,-0.0267773475,0.5898741099,0.9502035066,-0.0282353127,0.6279160380,0.8973391056,-0.0230528433,0.6237379909,0.9226622581,-0.0263733845,0.6194692850,0.9380701780,-0.0264878869,0.6150473046,0.9495645779,-0.0274713264,0.3727938681,0.8604631032,0.0000000714,0.3986632228,0.8664528131,-0.0116035361,0.4264760613,0.8859369755,-0.0185201354,0.4465490561,0.9049130566,-0.0233795701,0.4633673996,0.9204012213,-0.0277244557,0.4054384920,0.8845226688,-0.0251189966,0.4155874550,0.9101539254,-0.0355489627,0.4218173325,0.9301918745,-0.0402372852,0.4266625918,0.9488982986,-0.0431500701,0.3848564625,0.8909345865,-0.0249092411,0.3914299607,0.9214749932,-0.0348520055,0.3976385593,0.9456503391,-0.0390710533,0.4026616810,0.9662787838,-0.0426802263,0.3665927351,0.8973565102,-0.0249255151,0.3686380088,0.9264994860,-0.0367169157,0.3718709946,0.9495145679,-0.0407510027,0.3761380969,0.9695211421,-0.0428800207,0.3518216610,0.9028837681,-0.0252755079,0.3476150036,0.9286579490,-0.0352705047,0.3448193371,0.9463366866,-0.0384841636,0.3428683068,0.9628278543,-0.0405295387
1,1.0000000000,1.0000000000,0.6093526444,0.8503681398,0.0000001175,0.5826539397,0.8594522476,-0.0054198815,0.5580518842,0.8797314763,-0.0105009414,0.5360540678,0.8998837886,-0.0153205433,0.5176252855,0.9104796553,-0.0203116879,0.5749665624,0.8786805245,-0.0206501264,0.5627120137,0.9081705809,-0.0269122608,0.5567329526,0.9303150177,-0.0305136237,0.5522711086,0.9454420852,-0.0329049183,0.5933014154,0.8875263929,-0.0214678179,0.5804227591,0.9203720689,-0.0265266299,0.5725286603,0.9451290965,-0.0288222935,0.5681855554,0.9594696143,-0.0311901049,0.6104919910,0.8940960169,-0.0225701164,0.6000359058,0.9237282872,-0.0267219692,0.5929529667,0.9439533949,-0.0274190139,0.5878883368,0.9555778692,-0.0286494983,0.6261861920,0.8997252584,-0.0239325706,0.6213310361,0.9239046574,-0.0280042887,0.6173266172,0.9398761988,-0.0285169501,0.6138757450,0.9510981613,-0.0281909779,0.3749956526,0.8619050037,0.0000001210,0.4045638740,0.8719870448,-0.0102474289,0.4307433069,0.8926808834,-0.0167802479,0.4490959055,0.9084156839,-0.0233940248,0.4655404979,0.9246293755,-0.0282628818,0.4072577061,0.8937833197,-0.0249881987,0.4195465446,0.9319328070,-0.0336917266,0.4251215160,0.9560760260,-0.0383640602,0.4270038778,0.9652197727,-0.0428102250,0.3875543773,0.9041038156,-0.0236526635,0.3912174702,0.9401628971,-0.0327449068,0.3956038654,0.9670275450,-0.0368925184,0.3986351925,0.9802372495,-0.0416125890,0.3693168759,0.9077370167,-0.0236115493,0.3686624765,0.9405887723,-0.0343279839,0.3710138500,0.9650475383,-0.0386596024,0.3720832515,0.9798925583,-0.0421606187,0.3562722802,0.9087795615,-0.0237362795,0.3480211794,0.9349088669,-0.0335806273,0.3427444994,0.9528419971,-0.0371219441,0.3384928897,0.9668064340,-0.0403237552
2,1.0000000000,1.0000000000,0.6088069246,0.8480680440,0.0000001496,0.5812155008,0.8580341935,-0.0054009580,0.5561289787,0.8789356947,-0.0108920969,0.5356480406,0.8984834550,-0.0152120031,0.5169158346,0.9089873743,-0.0203264709,0.5744908497,0.8799158310,-0.0203415993,0.5618462563,0.9102380276,-0.0279588122,0.5556788445,0.9320816994,-0.0314428844,0.5515195963,0.9497496925,-0.0330557666,0.5923513174,0.8865671158,-0.0220577735,0.5793722868,0.9225268364,-0.0275537279,0.5714601874,0.9479663968,-0.0295782089,0.5660605686,0.9659565297,-0.0314661244,0.6096813083,0.8924481273,-0.0229508914,0.5990540385,0.9239346981,-0.0274167415,0.5920200348,0.9452477098,-0.0282213707,0.5861689145,0.9594624243,-0.0289560812,0.6256434321,0.8976482749,-0.0240474157,0.6207948327,0.9234810472,-0.0278766658,0.6164361835,0.9398847222,-0.0283690989,0.6127948423,0.9520617904,-0.0286892087,0.3765155404,0.8635119455,0.0000001480,0.4057927132,0.8737190962,-0.0106437122,0.4322817624,0.8919546604,-0.0185109712,0.4508093115,0.9111126606,-0.0235040586,0.4668557072,0.9280171677,-0.0288548952,0.4083146962,0.9010979776,-0.0247594970,0.4195421636,0.9374289513,-0.0370611362,0.4253351390,0.9627931714,-0.0419700854,0.4268142430,0.9766657999,-0.0422653364,0.3872018754,0.9095966220,-0.0265770182,0.3904366791,0.9472296238,-0.0359086506,0.3937414885,0.9745281935,-0.0393228084,0.3949051308,0.9902989152,-0.0405748325,0.3691012263,0.9135475755,-0.0267774779,0.3672303557,0.9469432235,-0.0374861471,0.3685109615,0.9714346528,-0.0408590585,0.3679680893,0.9879280775,-0.0415835156,0.3556565344,0.9142683148,-0.0272394661,0.3468492329,0.9397801161,-0.0370883271,0.3406907618,0.9568116069,-0.0401097909,0.3344837257,0.9696758826,-0.0401954983
3,1.0000000000,1.0000000000,0.6085585341,0.8465000897,0.0000001680,0.5817193985,0.8562989831,-0.0055831280,0.5563892722,0.8774228096,-0.0109151946,0.5352475730,0.8976307509,-0.0152888162,0.5162969868,0.9079822558,-0.0205205811,0.5738264717,0.8806374671,-0.0203736008,0.5615461469,0.9105250835,-0.0266143084,0.5556716323,0.9321978688,-0.0300144684,0.5509250707,0.9528869418,-0.0332401622,0.5915530324,0.8879228234,-0.0208339971,0.5783694386,0.9234649539,-0.0260658003,0.5703877211,0.9489074349,-0.0280212834,0.5645650494,0.9694178764,-0.0316833350,0.6086891890,0.8935595751,-0.0216295589,0.5982109308,0.9245340228,-0.0260081775,0.5907618403,0.9452127218,-0.0267812349,0.5848000530,0.9614867411,-0.0292500407,0.6247012019,0.8980383873,-0.0226721521,0.6199333668,0.9235820770,-0.0266270079,0.6157132387,0.9399736524,-0.0272501279,0.6118805724,0.9523778822,-0.0290621612,0.3773099025,0.8651078076,0.0000001497,0.4058858454,0.8733242154,-0.0104448935,0.4326414764,0.8926616311,-0.0182160195,0.4515990471,0.9126730026,-0.0235878520,0.4672328447,0.9301367562,-0.0293086406,0.4086676623,0.9055793681,-0.0243628533,0.4189082086,0.9340770245,-0.0343985781,0.4241050184,0.9578906894,-0.0388881601,0.4263490463,0.9819150965,-0.0414451459,0.3875981867,0.9086077213,-0.0249768216,0.3888375759,0.9445609450,-0.0334575921,0.3915490508,0.9691634774,-0.0363066308,0.3922463869,0.9953872400,-0.0396541186,0.3692988157,0.9113513827,-0.0254345033,0.3660013080,0.9454808831,-0.0358692519,0.3659547567,0.9689175487,-0.0386611857,0.3645768292,0.9929665594,-0.0412670064,0.3554402590,0.9113498926,-0.0261307098,0.3457521796,0.9377217293,-0.0355203077,0.3388901949,0.9543276429,-0.0380101353,0.3314780137,0.9711636074,-0.0402331438
4,1.0000000000,1.0000000000,0.6084274767,0.8457537229,0.0000001754,0.5814858079,0.8571721911,-0.0057187593,0.5558646321,0.8785524368,-0.0113204597,0.5349066829,0.8972680927,-0.0154467402,0.5158332866,0.9074625714,-0.0208016948,0.5730250730,0.8809783248,-0.0207190849,0.5608659387,0.9123923779,-0.0278843213,0.5550931096,0.9345218539,-0.0313906223,0.5503589586,0.9553742016,-0.0335628606,0.5904322863,0.8872532845,-0.0220104512,0.5778512955,0.9236090183,-0.0272864308,0.5699410439,0.9486314058,-0.0292439349,0.5635135354,0.9707575203,-0.0320557679,0.6077610850,0.8923271894,-0.0229724888,0.5969477892,0.9239003658,-0.0272968505,0.5896512270,0.9452700019,-0.0280264411,0.5836720630,0.9623493873,-0.0297427418,0.6241474152,0.8969008923,-0.0241819229,0.6192328334,0.9229572415,-0.0279864669,0.6144755483,0.9391861558,-0.0283527151,0.6111191912,0.9525060027,-0.0295882715,0.3780124355,0.8662443764,0.0000001393,0.4058371186,0.8752940893,-0.0091420216,0.4329502881,0.8949484229,-0.0157685746,0.4522576222,0.9129647037,-0.0234475840,0.4674686083,0.9308114338,-0.0293709340,0.4093758657,0.9071072253,-0.0238344233,0.4187909663,0.9323462248,-0.0289377552,0.4234575629,0.9528084397,-0.0332270265,0.4269205595,0.9825823107,-0.0405641420,0.3874880373,0.9128895402,-0.0213534515,0.3888531029,0.9457409978,-0.0288870558,0.3906483948,0.9689593315,-0.0321695544,0.3922322899,0.9966777081,-0.0390102958,0.3687425852,0.9160591364,-0.0226675421,0.3653790057,0.9459239244,-0.0329419374,0.3636734188,0.9679671526,-0.0363627337,0.3639514499,0.9954798572,-0.0412417239,0.3543505669,0.9157856703,-0.0241490919,0.3453028798,0.9392597079,-0.0332863480,0.3380789459,0.9545335770,-0.0358345434,0.3308610564,0.9717044413,-0.0405217622
5,1.0000000000,1.0000000000,0.6082412026,0.8456803385,0.0000001773,0.5816145539,0.8561941981,-0.0053441348,0.5562045574,0.8779315948,-0.0110534718,0.5345867596,0.8972438710,-0.0155680811,0.5154948835,0.9073785668,-0.0210375333,0.5721902836,0.8811832884,-0.0212095244,0.5600210428,0.9143412709,-0.0286486633,0.5543928146,0.9380185008,-0.0317927562,0.5496400560,0.9574976100,-0.0340203509,0.5900368690,0.8858522773,-0.0228769034,0.5770926476,0.9235665202,-0.0281716101,0.5689446926,0.9493223429,-0.0299483556,0.5626325551,0.9713310618,-0.0326447213,0.6077341437,0.8911753893,-0.0237381328,0.5968705416,0.9237875342,-0.0277883578,0.5894262791,0.9453213215,-0.0284270998,0.5825580867,0.9630117188,-0.0305031955,0.6242147088,0.8961864710,-0.0247741863,0.6190484166,0.9225847721,-0.0285974722,0.6147543788,0.9390298724,-0.0290726926,0.6103166548,0.9530954360,-0.0303769784,0.3795786804,0.8663760979,0.0000001307,0.4067751169,0.8776319623,-0.0108555062,0.4323756695,0.8952816129,-0.0191406496,0.4540806030,0.9116936585,-0.0228495557,0.4689074673,0.9297293716,-0.0287422800,0.4120967922,0.9055971915,-0.0230925618,0.4194286168,0.9451354742,-0.0367016010,0.4252487123,0.9705291390,-0.0410410948,0.4305181836,0.9801474548,-0.0397717328,0.3861680925,0.9153202772,-0.0272448212,0.3885639608,0.9548531771,-0.0359823667,0.3907653987,0.9814572334,-0.0394350030,0.3969595115,0.9951779070,-0.0385938433,0.3680889010,0.9183446765,-0.0274775401,0.3645897806,0.9560790062,-0.0378885195,0.3627985418,0.9833742976,-0.0418980047,0.3687949967,0.9954413518,-0.0412257474,0.3548820913,0.9181423187,-0.0278895013,0.3440656066,0.9430601001,-0.0381720178,0.3359542787,0.9596695304,-0.0414123908,0.3348078102,0.9717115302,-0.0408552909
6,1.0000000000,1.0000000000,0.6079113513,0.8460987212,0.0000001777,0.5809049606,0.8579419851,-0.0051171836,0.5556473136,0.8793990016,-0.0108120181,0.5342212154,0.8973780008,-0.0155798247,0.5152367681,0.9076205695,-0.0211145619,0.5714032290,0.8814260898,-0.0216038205,0.5588124394,0.9170624018,-0.0291714817,0.5529891849,0.9404016137,-0.0325123183,0.5487000935,0.9590578061,-0.0344713707,0.5891028643,0.8872600794,-0.0235085208,0.5760265589,0.9257469177,-0.0290403143,0.5678669810,0.9513501525,-0.0311313644,0.5617525216,0.9719461912,-0.0332943977,0.6072146893,0.8915187120,-0.0247458816,0.5963490605,0.9245222211,-0.0291799363,0.5884376764,0.9464609623,-0.0302724019,0.5812754470,0.9639983922,-0.0313648265,0.6243982315,0.8954223990,-0.0260905679,0.6186330914,0.9219498634,-0.0304815061,0.6139458418,0.9388856292,-0.0312493891,0.6091895444,0.9544698602,-0.0312589304,0.3828616885,0.8651879150,0.0000001349,0.4087313712,0.8739184141,-0.0089995656,0.4362200797,0.8914380670,-0.0163324308,0.4581441831,0.9086887414,-0.0216057442,0.4727984254,0.9265701407,-0.0271531315,0.4181345489,0.9012565820,-0.0219691272,0.4215176702,0.9320235848,-0.0320356004,0.4268561900,0.9543244243,-0.0368083864,0.4388072286,0.9753360660,-0.0390464053,0.3922781646,0.9098432660,-0.0240873676,0.3953398168,0.9445630312,-0.0320811048,0.3980431259,0.9690653682,-0.0350911170,0.4077152840,0.9914057238,-0.0382383102,0.3745629191,0.9138721228,-0.0257267226,0.3724509180,0.9462975264,-0.0358650200,0.3721696436,0.9692381620,-0.0391321518,0.3805904041,0.9925314287,-0.0408245406,0.3598098159,0.9144920707,-0.0276476853,0.3498036265,0.9389281273,-0.0371479243,0.3419796526,0.9546991587,-0.0401501581,0.3449783654,0.9713924216,-0.0407757047
7,1.0000000000,1.0000000000,0.6074165277,0.8468789356,0.0000001771,0.5813328624,0.8565817475,-0.0055158283,0.5554329157,0.8785923123,-0.0113835642,0.5338301390,0.8975059414,-0.0154506585,0.5151055231,0.9080257958,-0.0209734436,0.5706976451,0.8816805988,-0.0217385126,0.5581676364,0.9152871370,-0.0306224246,0.5519228578,0.9392505288,-0.0340007320,0.5476682788,0.9597403644,-0.0347537692,0.5886899829,0.8871067166,-0.0245082118,0.5746173263,0.9264601469,-0.0302022975,0.5663209558,0.9531432390,-0.0322288051,0.5608836694,0.9725994585,-0.0338178645,0.6064836383,0.8923751116,-0.0255754068,0.5942559838,0.9268133044,-0.0300412234,0.5857830048,0.9499978423,-0.0312182754,0.5798787673,0.9651665359,-0.0321037231,0.6235013604,0.8973652720,-0.0267628282,0.6174461842,0.9267197847,-0.0310767107,0.6120971441,0.9447076917,-0.0318950713,0.6076710401,0.9562752492,-0.0320070951,0.3880690299,0.8630189789,0.0000001587,0.4150052071,0.8696274757,-0.0079601984,0.4436242282,0.8865395188,-0.0138462875,0.4644713443,0.9044037446,-0.0199218898,0.4793524721,0.9215122065,-0.0248615739,0.4272387070,0.8952857846,-0.0206980226,0.4385327995,0.9219275713,-0.0283834599,0.4442001283,0.9446983933,-0.0330661163,0.4516366041,0.9696174702,-0.0387335645,0.4053638577,0.9022426009,-0.0208754484,0.4140099287,0.9370534420,-0.0289551821,0.4191748500,0.9620562196,-0.0324623436,0.4232995365,0.9866195796,-0.0381708227,0.3862346709,0.9085006714,-0.0231492668,0.3909947872,0.9424360991,-0.0331282914,0.3944846094,0.9669082165,-0.0365776643,0.3977136786,0.9874349433,-0.0401176982,0.3691122234,0.9115925431,-0.0256394036,0.3651989102,0.9372830391,-0.0348375663,0.3620265424,0.9544956088,-0.0376163498,0.3604764504,0.9709277792,-0.0401776201
8,1.0000000000,1.0000000000,0.6068145399,0.8478213513,0.0000001746,0.5793606639,0.8603377938,-0.0053183143,0.5541472435,0.8805285096,-0.0109866960,0.5335263411,0.8975112547,-0.0152147911,0.5151930011,0.9084144476,-0.0206652725,0.5701183413,0.8817625539,-0.0216699742,0.5567439795,0.9164507389,-0.0289147068,0.5503016114,0.9403828382,-0.0324709043,0.5467982906,0.9594186123,-0.0348741141,0.5876450539,0.8882542849,-0.0230765603,0.5732141733,0.9263019562,-0.0288108960,0.5648884773,0.9531841874,-0.0310960561,0.5601427263,0.9729347595,-0.0342161136,0.6055806875,0.8937736750,-0.0243420433,0.5933039188,0.9266738296,-0.0290237684,0.5847187042,0.9500665069,-0.0304597542,0.5786011175,0.9661085548,-0.0326955529,0.6227651834,0.8997540474,-0.0257388540,0.6157313585,0.9281054139,-0.0301377531,0.6099035740,0.9462015033,-0.0310629383,0.6060275187,0.9577849460,-0.0326178315,0.3943157160,0.8607364875,0.0000001975,0.4220111966,0.8682079911,-0.0079474440,0.4515257180,0.8831045628,-0.0134038096,0.4717339314,0.8998785223,-0.0183538003,0.4872484747,0.9154178294,-0.0226703041,0.4372765265,0.8896177005,-0.0198363362,0.4561886787,0.9180788398,-0.0291771647,0.4643733203,0.9417455196,-0.0340759642,0.4662163369,0.9648940098,-0.0394206912,0.4191394448,0.8951519132,-0.0205068141,0.4319123924,0.9305689931,-0.0300727822,0.4390133619,0.9577834606,-0.0343908705,0.4399111891,0.9825466436,-0.0388011728,0.3989340067,0.9032528400,-0.0222013779,0.4082438350,0.9356824160,-0.0326742828,0.4144582450,0.9605312943,-0.0363005698,0.4157165833,0.9817391965,-0.0395949250,0.3804993331,0.9099966884,-0.0240668207,0.3804028332,0.9360045195,-0.0333690643,0.3812768161,0.9546842575,-0.0364296362,0.3774847342,0.9703976841,-0.0394720945
9,1.0000000000,1.0000000000,0.6062560520,0.8486446847,0.0000001705,0.5793907642,0.8589488864,-0.0048461501,0.5540997982,0.8787838817,-0.0102367569,0.5333945528,0.8973639822,-0.0150210583,0.5154829042,0.9086609054,-0.0203981498,0.5697441303,0.8815124384,-0.0216710790,0.5557827353,0.9161474109,-0.0290048439,0.5493929982,0.9398490787,-0.0325538628,0.5462357525,0.9582989704,-0.0350772655,0.5867149234,0.8886682391,-0.0232674386,0.5727736950,0.9266936183,-0.0293050148,0.5645394325,0.9530267119,-0.0315930843,0.5595505494,0.9728952627,-0.0346881008,0.6046292186,0.8941837549,-0.0247601047,0.5926324129,0.9267337322,-0.0296258479,0.5839207768,0.9498025775,-0.0309328176,0.5775620497,0.9668123535,-0.0333353982,0.6218603253,0.8997884989,-0.0263448898,0.6145455837,0.9277837873,-0.0309489276,0.6085343957,0.9458301067,-0.0318353735,0.6045598837,0.9587153655,-0.0332978369,0.3999135084,0.8590840541,0.0000002358,0.4318383932,0.8671916723,-0.0071902997,0.4612454772,0.8804252744,-0.0128651522,0.4779505599,0.8961460690,-0.0173341895,0.4943068245,0.9095042584,-0.0212676270,0.4454451536,0.8857637894,-0.0196808508,0.4739996195,0.9145432115,-0.0316409208,0.4830797017,0.9402868152,-0.0381596871,0.4785303126,0.9620529189,-0.0411217366,0.4343010783,0.8953614831,-0.0216550902,0.4499921203,0.9291216731,-0.0325519890,0.4577630162,0.9565187097,-0.0380610675,0.4533313612,0.9802148968,-0.0400958019,0.4140787721,0.9052413106,-0.0234619807,0.4257237315,0.9338434339,-0.0344230235,0.4337398112,0.9565792084,-0.0386225395,0.4300234317,0.9771412305,-0.0395733090,0.3947359324,0.9128742218,-0.0253023077,0.3969564438,0.9363275766,-0.0351368338,0.3994137943,0.9533462524,-0.0384136625,0.3916889628,0.9699610355,-0.0390948291
